Date,^NSEI,ADANIPORTS.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BHARTIARTL.NS,BPCL.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,IOC.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SHREECEM.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATAMOTORS.NS,TATASTEEL.NS,TATACONSUM.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS,ADANIENT.NS,ADANIGREEN.NS
2020-08-10,11270.150390625,323.16326904296875,1724.763916015625,429.22979736328125,2684.372314453125,3393.39794921875,639.154052734375,540.6137084960938,160.67112731933594,768.1519165039062,87.41387176513672,3013.767822265625,4574.580078125,2062.204833984375,618.3880615234375,592.5537109375,1008.6015625,2471.98974609375,172.7403564453125,2077.401123046875,351.4287414550781,41.11655044555664,491.8813781738281,875.1578369140625,171.00828552246094,232.7364044189453,1356.1026611328125,902.128173828125,598.5323486328125,6345.6962890625,1588.404296875,68.12007141113281,62.6543083190918,77.92298126220703,1930.09033203125,22086.9453125,182.4131622314453,520.316162109375,2116.472412109375,123.08536529541016,16.930082321166992,504.2608642578125,599.62158203125,1090.1478271484375,3885.631591796875,467.3273620605469,272.7912902832031,195.21299743652344,373.5
2020-08-11,11322.5,326.7724304199219,1731.7314453125,446.0564880371094,2696.611328125,3407.64013671875,642.90234375,533.1166381835938,166.1280975341797,751.1590576171875,87.98873901367188,3026.96240234375,4481.93603515625,2070.85302734375,608.830078125,585.4898071289062,1023.9612426757812,2481.778076171875,173.07887268066406,2081.072509765625,355.1020202636719,41.09294509887695,504.0975341796875,872.489990234375,174.62020874023438,240.85179138183594,1360.4896240234375,903.8666381835938,599.1509399414062,6384.39208984375,1584.3106689453125,68.15867614746094,62.17875671386719,77.74711608886719,1942.7916259765625,21253.818359375,183.5897216796875,517.6372680664062,2113.7841796875,121.54493713378906,17.188039779663086,499.99658203125,593.4218139648438,1049.49658203125,3886.023193359375,455.6039733886719,275.00390625,195.36264038085938,360.6499938964844
2020-08-12,11308.400390625,332.8201599121094,1739.182861328125,449.1430358886719,2710.554443359375,3369.053955078125,634.6019897460938,529.8275146484375,163.24481201171875,735.8076171875,87.04190826416016,3012.994873046875,4406.11376953125,2135.945556640625,610.6831665039062,614.002197265625,1021.1292724609375,2537.71923828125,170.03225708007812,2066.433837890625,354.61871337890625,40.52647018432617,502.79388427734375,878.4694213867188,175.6092071533203,243.74676513671875,1331.078369140625,892.4496459960938,604.2901611328125,6462.26171875,1576.500244140625,68.50621795654297,61.90134811401367,78.27467346191406,1937.1466064453125,21083.5078125,191.35498046875,509.1224670410156,2092.876708984375,124.57610321044922,17.10755729675293,501.5956726074219,608.5914916992188,1039.7523193359375,3916.279052734375,460.56756591796875,271.6112365722656,197.20802307128906,362.5
2020-08-13,11300.4501953125,339.11175537109375,1744.3115234375,446.1560363769531,2706.026123046875,3370.433349609375,633.88330078125,517.8805541992188,162.9932403564453,734.021484375,87.21096801757812,3021.2109375,4390.6083984375,2093.09423828125,616.2423706054688,620.424072265625,1016.665283203125,2570.332763671875,177.52796936035156,2069.77587890625,355.7786865234375,40.99853515625,500.958984375,875.019775390625,173.24424743652344,245.4552764892578,1332.2249755859375,930.928955078125,600.959228515625,6521.6982421875,1570.1475830078125,69.4615707397461,62.297645568847656,78.5823974609375,1932.0933837890625,20943.564453125,190.0372314453125,498.2635498046875,2090.18798828125,130.3402862548828,17.049774169921875,522.4329223632812,612.9885864257812,1080.4033203125,3962.93603515625,462.4584045410156,272.3979187011719,200.25042724609375,362.1499938964844
2020-08-14,11178.400390625,339.5506896972656,1744.3115234375,433.9591979980469,2678.768310546875,3283.157958984375,623.5714111328125,511.350830078125,159.935791015625,745.1729736328125,89.17230987548828,2986.702392578125,4407.33251953125,1945.4486083984375,613.4140014648438,607.1524047851562,993.0498046875,2564.981201171875,178.8820343017578,2046.4764404296875,349.3504333496094,40.03080368041992,489.8051452636719,877.2275390625,168.90130615234375,251.86216735839844,1303.5115966796875,923.5055541992188,584.7801513671875,6382.72265625,1558.758056640625,70.37712860107422,61.1087646484375,77.10966491699219,1924.58203125,21161.7578125,184.95452880859375,508.3570251464844,2078.783935546875,123.83073425292969,17.272647857666016,520.9307250976562,611.977294921875,1086.8011474609375,3926.511474609375,459.1493835449219,271.9062805175781,195.71176147460938,357.6000061035156
2020-08-17,11247.099609375,348.67108154296875,1777.35791015625,436.2492370605469,2793.583740234375,3336.085205078125,625.8074340820312,504.3857421875,157.86524963378906,745.0281982421875,91.97901916503906,3025.1259765625,4407.0888671875,2041.1123046875,609.9030151367188,615.500732421875,991.4178466796875,2677.870361328125,186.23269653320312,2067.328369140625,348.1904602050781,41.328975677490234,495.5510559082031,880.8151245117188,170.92225646972656,255.8961639404297,1323.5511474609375,940.4196166992188,593.4882202148438,6557.30224609375,1565.25830078125,75.87035369873047,62.85245895385742,78.53844451904297,1904.1416015625,21215.501953125,181.75428771972656,505.4869384765625,2089.21435546875,122.78721618652344,17.542984008789062,526.988037109375,634.09423828125,1106.1915283203125,3951.47998046875,465.4837951660156,277.2657470703125,197.3077850341797,367.25
2020-08-18,11385.349609375,348.67108154296875,1813.5496826171875,443.86602783203125,2783.89990234375,3370.679931640625,633.1895141601562,509.1258850097656,155.69790649414062,738.4627075195312,92.41859436035156,3045.71533203125,4408.3076171875,2067.187744140625,650.6217041015625,611.733154296875,1014.2174072265625,2675.080322265625,189.56948852539062,2084.5556640625,357.2286682128906,41.0693473815918,503.7112121582031,890.060302734375,170.7502899169922,263.0624084472656,1365.22509765625,943.9434204101562,592.5841064453125,6678.11279296875,1577.8104248046875,75.67132568359375,63.922454833984375,78.14279174804688,1928.9068603515625,21611.5078125,183.63677978515625,503.2384948730469,2104.373291015625,124.82455444335938,17.933013916015625,528.9263305664062,627.05908203125,1127.5506591796875,4082.050048828125,472.8581848144531,278.00323486328125,213.16819763183594,373.54998779296875
2020-08-19,11408.400390625,347.8907165527344,1824.7747802734375,442.2729797363281,2743.551025390625,3360.872802734375,628.7972412109375,518.3641967773438,156.23976135253906,732.18701171875,91.37032318115234,3054.173095703125,4377.9306640625,2053.34375,648.42724609375,607.7945556640625,1023.9132080078125,2683.222412109375,190.34326171875,2065.022216796875,361.96533203125,41.541404724121094,504.2424011230469,882.4710083007812,170.66427612304688,264.3912048339844,1351.5166015625,948.21875,593.7738647460938,6772.28076171875,1557.9049072265625,75.35287475585938,63.050594329833984,77.9669418334961,1940.7430419921875,21776.19921875,185.47222900390625,503.62200927734375,2092.181396484375,124.3773422241211,17.817447662353516,531.3008422851562,639.0629272460938,1130.3558349609375,4112.3056640625,477.8819274902344,275.10223388671875,238.9539031982422,371.0
2020-08-20,11312.2001953125,344.9156188964844,1814.32373046875,433.0631103515625,2723.0625,3344.955810546875,627.8389282226562,508.4002990722656,159.6261749267578,736.3869018554688,93.66979217529297,3082.88232421875,4365.0087890625,2063.96728515625,649.15869140625,608.008544921875,1016.6173706054688,2704.262939453125,192.4710693359375,2057.585205078125,355.48870849609375,42.03706359863281,495.79248046875,878.6533203125,168.38531494140625,268.2828063964844,1334.318603515625,935.6742553710938,582.4959716796875,6757.16796875,1545.1527099609375,80.48784637451172,65.11133575439453,79.65948486328125,1909.331298828125,21775.111328125,183.30734252929688,500.6505126953125,2088.70458984375,120.94863891601562,17.854591369628906,532.3185424804688,638.7991333007812,1108.0125732421875,4057.86474609375,470.7051086425781,269.64447021484375,233.4176788330078,375.3999938964844
2020-08-21,11371.599609375,345.647216796875,1894.7391357421875,438.53924560546875,2737.587890625,3340.5205078125,627.13525390625,503.2732849121094,158.71670532226562,734.5042114257812,94.34611511230469,3138.995361328125,4378.41796875,2095.938720703125,660.6184692382812,604.4124755859375,1042.2008056640625,2775.070556640625,189.81129455566406,2072.976806640625,358.77532958984375,41.942657470703125,495.93731689453125,872.8119506835938,169.24530029296875,267.5709533691406,1335.365478515625,934.1708374023438,580.3546142578125,6755.52099609375,1578.5108642578125,84.34902954101562,64.23949432373047,83.13249969482422,1895.4920654296875,22009.3828125,186.7428741455078,510.2838134765625,2084.763916015625,120.15357208251953,17.699817657470703,528.9749145507812,644.2513427734375,1120.2176513671875,4100.50732421875,472.14044189453125,268.80859375,232.76931762695312,376.54998779296875
