Date,NTPC.NS,POWERGRID.NS,ADANIPOWER.NS,NHPC.NS,TATAPOWER.NS,GMRINFRA.NS,JSWENERGY.NS,TORNTPOWER.NS,ADANIGREEN.NS,ADANITRANS.NS,RELINFRA.NS,CESC.NS,SJVN.NS,KEC.NS,PTC.NS,THERMAX.NS,CGPOWER.NS,RTNPOWER.NS,INDOWIND.NS
2020-08-10,68.12006378173828,77.9229736328125,37.650001525878906,16.69080352783203,49.71791076660156,19.32491683959961,49.51395034790039,309.67523193359375,373.5,,29.850000381469727,46.22688293457031,18.01406478881836,265.7790222167969,39.12924575805664,737.94775390625,11.35832691192627,3.299999952316284,2.8510560989379883
2020-08-11,68.1586685180664,77.74711608886719,37.650001525878906,16.60898780822754,50.15276336669922,19.054637908935547,49.124454498291016,309.6295471191406,360.6499938964844,,31.299999237060547,46.827816009521484,17.89262580871582,283.92791748046875,38.696083068847656,727.3648071289062,11.903923034667969,3.5999999046325684,2.99127197265625
2020-08-12,68.5062255859375,78.27467346191406,37.29999923706055,16.60898780822754,51.167415618896484,19.32491683959961,49.5626335144043,313.2378234863281,362.5,,31.200000762939453,46.98210525512695,17.933103561401367,286.0630798339844,38.768280029296875,732.4840698242188,12.499120712280273,3.700000047683716,3.131488084793091
2020-08-13,69.46157836914062,78.5823974609375,37.650001525878906,16.81353187561035,54.211368560791016,19.32491683959961,52.48381042480469,312.5984191894531,362.1499938964844,,30.649999618530273,48.46818923950195,17.973587036132812,296.1080627441406,39.38192367553711,739.5228271484375,13.094315528869629,3.4000000953674316,3.131488084793091
2020-08-14,70.37711334228516,77.10967254638672,37.150001525878906,16.895347595214844,53.10008239746094,18.874452590942383,54.57732009887695,313.1921691894531,357.6000061035156,,30.549999237060547,48.346378326416016,18.09503173828125,298.5828857421875,39.201438903808594,737.4555053710938,13.19351577758789,3.700000047683716,3.131488084793091
2020-08-17,75.87035369873047,78.53843688964844,37.04999923706055,16.936256408691406,54.163047790527344,18.829404830932617,55.891849517822266,321.13958740234375,367.25,,31.149999618530273,48.346378326416016,18.580801010131836,305.3765869140625,40.28435134887695,779.9347534179688,13.838311195373535,4.050000190734863,3.2717039585113525
2020-08-18,75.67132568359375,78.14277648925781,36.79999923706055,17.0180721282959,53.77652359008789,19.144729614257812,54.382568359375,314.79083251953125,373.54998779296875,,30.75,47.80635070800781,18.742727279663086,303.4355163574219,40.78971481323242,780.1316528320312,14.48310661315918,4.099999904632568,3.2717039585113525
2020-08-19,75.3528823852539,77.96693420410156,37.5,17.099891662597656,54.791168212890625,19.054637908935547,55.55104446411133,317.485595703125,371.0,,32.25,49.20716857910156,19.026094436645508,303.1443786621094,41.80043411254883,778.7041625976562,15.177502632141113,3.9000000953674316,3.1782259941101074
2020-08-20,80.48784637451172,79.65948486328125,38.45000076293945,19.268062591552734,59.332942962646484,20.000612258911133,55.599727630615234,328.81298828125,375.3999938964844,,31.450000762939453,51.46471405029297,20.200044631958008,304.06634521484375,42.73896026611328,796.8182373046875,15.921497344970703,4.099999904632568,3.1782259941101074
2020-08-21,84.34902954101562,83.13248443603516,39.150001525878906,19.022605895996094,59.86442565917969,21.892562866210938,56.281333923339844,324.42822265625,376.54998779296875,,30.649999618530273,51.69208908081055,20.119081497192383,309.45281982421875,43.38870620727539,805.0875854492188,16.7150936126709,4.050000190734863,3.131488084793091
2020-08-24,83.91117095947266,81.43994903564453,38.400001525878906,18.6135196685791,58.84977340698242,22.793489456176758,55.40498733520508,324.65655517578125,414.20001220703125,,29.700000762939453,50.4739875793457,19.79523277282715,312.5585021972656,44.291133880615234,802.3803100585938,17.508686065673828,3.950000047683716,3.131488084793091
2020-08-25,82.63737487792969,81.22013092041016,40.95000076293945,18.204429626464844,57.980072021484375,22.388072967529297,56.13528060913086,321.4136657714844,424.70001220703125,,29.600000381469727,52.69905090332031,19.51186752319336,315.5671081542969,44.39942169189453,790.0254516601562,18.351882934570312,3.75,3.1782259941101074
2020-08-26,81.84126281738281,81.48391723632812,40.150001525878906,18.16351890563965,60.54085922241211,23.28900146484375,55.35629653930664,319.9520568847656,427.6499938964844,,29.799999237060547,51.94789123535156,19.83571434020996,317.45965576171875,44.218936920166016,785.8414916992188,19.244674682617188,3.75,3.1782259941101074
2020-08-27,81.68202209472656,81.41796112060547,39.45000076293945,18.368066787719727,59.526206970214844,23.15386199951172,54.28520202636719,314.3340759277344,432.75,,31.25,51.65960693359375,20.88822364807129,324.64154052734375,44.471614837646484,766.7922973632812,20.187070846557617,3.5999999046325684,3.131488084793091
2020-08-28,80.84611511230469,80.14306640625,39.25,18.57261085510254,59.13967514038086,23.19890785217285,54.382568359375,314.79083251953125,462.29998779296875,,29.899999618530273,50.839420318603516,20.078601837158203,323.2828063964844,44.32722854614258,779.24560546875,21.17906379699707,3.450000047683716,3.131488084793091
2020-08-31,76.7460708618164,78.67033386230469,37.25,17.71352195739746,56.77215576171875,21.21686553955078,53.31147384643555,304.1029357910156,452.75,,28.450000762939453,48.760528564453125,18.90464973449707,312.60699462890625,42.6667594909668,752.7638549804688,22.220657348632812,3.1500000953674316,3.038011074066162
2020-09-01,79.4529037475586,79.30778503417969,38.79999923706055,17.83625030517578,57.49690628051758,21.261911392211914,53.847023010253906,311.3652038574219,494.6499938964844,,27.700000762939453,49.824337005615234,18.864166259765625,305.61920166015625,42.5584716796875,756.7015991210938,21.12946319580078,3.0,3.038011074066162
