Date,BLUEDART.NS,MAHLOG.NS,TCIEXP.NS,ALLCARGO.NS,GATI.NS,VRLLOG.NS,TCI.NS,SNOWMAN.NS,PATINTLOG.NS,SICAL.NS,AGARIND.NS,AEGISCHEM.NS,CONCOR.NS
2020-08-10,1953.6566162109375,288.87744140625,696.6253051757812,24.665102005004883,,144.22877502441406,171.67178344726562,28.199312210083008,10.677568435668945,,92.35433197021484,,361.4156188964844
2020-08-11,1954.0003662109375,287.2107849121094,707.46484375,25.148731231689453,,144.7109832763672,181.04537963867188,28.814401626586914,10.363519668579102,,98.2420425415039,,352.904052734375
2020-08-12,1933.7137451171875,288.7303771972656,730.6644287109375,24.411197662353516,,144.56631469726562,183.89610290527344,30.51771354675293,10.094337463378906,,105.49220275878906,,339.24810791015625
2020-08-13,1909.1536865234375,292.2598571777344,770.5892333984375,24.42328643798828,,147.79713439941406,203.2714080810547,29.90262794494629,10.027043342590332,,116.00250244140625,,352.7169189453125
2020-08-14,1875.3096923828125,287.79901123046875,748.9591674804688,24.483741760253906,,144.56631469726562,200.420654296875,29.334857940673828,10.049474716186523,,112.40174865722656,,355.0553283691406
2020-08-17,1852.4197998046875,288.7793884277344,742.8772583007812,24.894824981689453,,145.82005310058594,200.9521484375,29.94994354248047,10.094337463378906,,106.80598449707031,,360.80767822265625
2020-08-18,1857.4300537109375,293.87750244140625,773.8264770507812,25.330093383789062,,145.48252868652344,219.36105346679688,30.565027236938477,11.058908462524414,,107.34123992919922,,367.2147216796875
2020-08-19,1861.408935546875,308.53466796875,800.6556396484375,25.08827781677246,,153.53541564941406,216.75192260742188,31.79520034790039,12.292661666870117,,108.7523422241211,,367.86944580078125
2020-08-20,1878.993896484375,341.3293151855469,786.6279296875,25.58399772644043,,162.40805053710938,225.78729248046875,34.25554275512695,14.737735748291016,,108.8983154296875,,367.5421447753906
2020-08-21,1968.5889892578125,366.4277648925781,782.8511962890625,26.043445587158203,,158.79147338867188,227.86492919921875,34.397483825683594,14.894759178161621,,111.1852798461914,,368.6645202636719
2020-08-24,2033.32958984375,347.9961242675781,772.8453369140625,26.321533203125,,159.27369689941406,221.48704528808594,32.88343048095703,14.1769380569458,,112.54772186279297,,367.2615051269531
2020-08-25,1994.8192138671875,355.3982238769531,794.1322021484375,31.581005096435547,,161.9740753173828,222.3567657470703,32.93074417114258,14.423688888549805,,112.98564910888672,,367.86944580078125
2020-08-26,2171.259033203125,358.143310546875,828.5637817382812,31.097375869750977,,169.54476928710938,220.7139434814453,32.17371368408203,14.289098739624023,,112.93700408935547,,368.3371276855469
2020-08-27,2167.378173828125,358.09429931640625,823.1685180664062,29.876211166381836,,173.64353942871094,219.2161407470703,31.937143325805664,14.423688888549805,,108.41173553466797,,369.9271545410156
2020-08-28,2216.3017578125,379.12408447265625,798.8407592773438,29.549758911132812,,168.291015625,217.57333374023438,31.132802963256836,12.98804759979248,,107.43855285644531,,382.6478576660156
2020-08-31,2150.18603515625,352.4079284667969,754.2564697265625,28.086780548095703,,158.83969116210938,203.89952087402344,29.807998657226562,11.709432601928711,,102.08609008789062,,367.5888977050781
2020-09-01,2167.231201171875,353.92755126953125,755.5807495117188,27.820785522460938,,157.92352294921875,201.5802459716797,29.334857940673828,11.417819023132324,,100.48033905029297,,375.5860595703125
2020-09-02,2163.7431640625,349.9569396972656,774.2188110351562,28.64295196533203,,161.25074768066406,208.53797912597656,30.09188461303711,11.417819023132324,,98.29070281982422,,371.42376708984375
2020-09-03,2172.2412109375,345.05487060546875,772.7965087890625,29.41676139831543,,160.1416778564453,213.46633911132812,30.659658432006836,11.193499565124512,,103.20524597167969,,374.6974792480469
2020-09-04,2248.721435546875,345.0058288574219,759.7007446289062,28.788043975830078,,157.103759765625,213.36972045898438,29.94994354248047,11.17106819152832,,98.29070281982422,,366.3729553222656
2020-09-07,2591.97314453125,335.7409973144531,784.7151489257812,27.62733268737793,,154.30694580078125,206.6052703857422,29.0036563873291,11.238364219665527,,99.21521759033203,,360.7141418457031
2020-09-08,2531.01513671875,329.8585510253906,758.5726318359375,27.832874298095703,,150.97970581054688,211.63031005859375,29.429487228393555,10.677568435668945,,97.75545501708984,,363.1927490234375
2020-09-09,2557.19580078125,312.456298828125,757.8859252929688,27.77242088317871,,148.47219848632812,207.764892578125,28.577829360961914,10.184065818786621,,95.46849822998047,,350.8463134765625
2020-09-10,2787.96240234375,312.0641174316406,796.290283203125,28.618772506713867,,155.65711975097656,222.2601318359375,30.186513900756836,10.655136108398438,,97.75545501708984,,343.7844543457031
2020-09-11,2861.20068359375,318.68182373046875,791.6798095703125,29.332128524780273,,153.39076232910156,230.42575073242188,29.382169723510742,10.677568435668945,,101.55083465576172,,358.98370361328125
2020-09-14,2948.143310546875,327.6036376953125,832.7817993164062,29.465124130249023,,155.36781311035156,233.95294189453125,30.612340927124023,10.385952949523926,,101.79413604736328,,359.35791015625
2020-09-15,2843.124755859375,337.2115783691406,853.7742309570312,29.71902847290039,,156.71800231933594,232.31015014648438,30.186513900756836,10.116769790649414,,100.23705291748047,,363.6136474609375
2020-09-16,2717.720947265625,340.98614501953125,869.2734375,30.335657119750977,,161.29898071289062,231.0055694580078,29.76068687438965,10.565407752990723,,99.02058410644531,,362.1639709472656
2020-09-17,2756.771240234375,330.7899169921875,853.9705200195312,28.884767532348633,,162.31163024902344,226.8019561767578,31.889827728271484,10.52054500579834,,97.17154693603516,,363.70721435546875
