Date,APOLLOHOSP.NS,LALPATHLAB.NS,FORTIS.NS,NH.NS,MAXHEALTH.NS,METROPOLIS.NS,THYROCARE.NS,ASTERDM.NS,HCG.NS,INDRAMEDCO.NS,SHALBY.NS,LOTUSEYE.NS
2020-08-10,1763.1094970703125,1832.27685546875,137.2982177734375,320.2144470214844,,1684.8651123046875,646.0735473632812,101.20885467529297,129.1999969482422,53.46328353881836,78.85730743408203,29.322372436523438
2020-08-11,1729.1341552734375,1810.1683349609375,135.80584716796875,325.3153076171875,,1579.18310546875,638.6845092773438,103.57230377197266,130.0,53.55807876586914,88.65961456298828,27.907482147216797
2020-08-12,1685.9241943359375,1793.11328125,133.81602478027344,327.09814453125,,1589.9527587890625,637.369873046875,105.13521575927734,128.60000610351562,52.65753936767578,91.0004653930664,27.273221969604492
2020-08-13,1703.80078125,1802.19970703125,131.9754180908203,338.2902526855469,,1661.7518310546875,639.2737426757812,102.65740966796875,129.0500030517578,52.467952728271484,87.87932586669922,28.29779624938965
2020-08-14,1686.27001953125,1810.3138427734375,134.71144104003906,329.37615966796875,,1646.7525634765625,639.1378173828125,100.0271224975586,128.39999389648438,52.51535415649414,83.92916107177734,27.809904098510742
2020-08-17,1683.3565673828125,1859.9727783203125,134.7611846923828,342.69781494140625,,1671.19384765625,758.2706298828125,99.30284881591797,128.64999389648438,52.18357467651367,83.68531799316406,30.395736694335938
2020-08-18,1676.19580078125,1827.9036865234375,140.0342254638672,340.76641845703125,,1674.1444091796875,712.3492431640625,99.60780334472656,128.75,52.65753936767578,82.6124267578125,28.736900329589844
2020-08-19,1664.1961669921875,1819.0601806640625,138.98956298828125,344.4310607910156,,1678.2261962890625,709.9465942382812,101.85689544677734,129.35000610351562,52.98931884765625,83.73406982421875,29.273582458496094
2020-08-20,1672.294677734375,1788.3515625,139.18853759765625,342.7968444824219,,1760.1064453125,718.0156860351562,106.85061645507812,129.8000030517578,56.07009506225586,84.51436614990234,29.273582458496094
2020-08-21,1656.7884521484375,1792.7244873046875,136.90025329589844,335.4674377441406,111.37194061279297,1721.993896484375,714.4345092773438,106.62191009521484,128.8000030517578,56.733638763427734,85.24588012695312,28.785690307617188
2020-08-24,1669.6776123046875,1792.9189453125,138.34288024902344,343.1930236816406,116.9031753540039,1756.31982421875,728.8955078125,108.33731079101562,129.3000030517578,54.45861053466797,84.27052307128906,28.63932228088379
2020-08-25,1643.899658203125,1789.2747802734375,135.35813903808594,340.76641845703125,122.7333755493164,1799.7926025390625,704.053466796875,106.24070739746094,129.0500030517578,50.42990493774414,82.12474060058594,34.20130157470703
2020-08-26,1630.813232421875,1799.527099609375,135.20889282226562,334.5265197753906,123.58050537109375,1805.2510986328125,688.5950927734375,109.90023040771484,129.3000030517578,50.80907440185547,86.31876373291016,36.44561004638672
2020-08-27,1629.628173828125,1803.5601806640625,134.91043090820312,326.50384521484375,117.40148162841797,1789.6619873046875,683.2459716796875,109.32843017578125,128.64999389648438,50.335113525390625,86.70890808105469,36.73834991455078
2020-08-28,1641.4305419921875,1788.7403564453125,132.47288513183594,330.4161376953125,111.5712661743164,1805.939697265625,680.8887329101562,107.9179916381836,128.64999389648438,50.003334045410156,85.5384750366211,31.664260864257812
2020-08-31,1614.368896484375,1724.7960205078125,132.12466430664062,320.41253662109375,106.0400390625,1808.3985595703125,680.5260620117188,99.37908935546875,121.3499984741211,47.44392395019531,80.17403411865234,30.005422592163086
2020-09-01,1650.2208251953125,1745.8353271484375,131.0800018310547,308.9727783203125,105.34241485595703,1784.10498046875,682.2940673828125,97.1681137084961,118.30000305175781,47.11214828491211,79.8326644897461,29.07842445373535
2020-09-02,1677.677490234375,1808.71044921875,132.7216033935547,320.26397705078125,106.08987426757812,1740.5830078125,683.8352661132812,98.5023193359375,118.6500015258789,47.34912872314453,79.49128723144531,29.07842445373535
2020-09-03,1677.9736328125,1801.1790771484375,131.9754180908203,317.49066162109375,111.37194061279297,1791.284912109375,681.2059936523438,100.82764434814453,119.5999984741211,47.49131774902344,80.12527465820312,29.46874237060547
2020-09-04,1629.529296875,1793.501953125,132.4231414794922,316.5992736816406,114.860107421875,1756.4674072265625,680.3447265625,97.77804565429688,119.44999694824219,47.01735305786133,79.1930160522461,29.956632614135742
2020-09-07,1628.88720703125,1765.7572021484375,134.21397399902344,313.9745788574219,112.96653747558594,1752.7298583984375,680.2993774414062,95.52896118164062,121.3499984741211,46.40120315551758,80.07620239257812,30.44452667236328
2020-09-08,1631.2576904296875,1747.6817626953125,134.66171264648438,304.1690673828125,109.62786865234375,1758.9261474609375,682.5660400390625,94.57595825195312,120.0,45.9272346496582,76.39623260498047,30.29815673828125
2020-09-09,1586.6156005859375,1723.87255859375,134.36322021484375,305.20904541015625,111.07295989990234,1732.0753173828125,680.8887329101562,92.70806884765625,116.4000015258789,44.17356491088867,78.01541900634766,30.24936866760254
2020-09-10,1589.03564453125,1747.4388427734375,132.92059326171875,310.01275634765625,111.32210540771484,1715.2567138671875,694.4883422851562,91.7931900024414,120.25,45.500667572021484,76.93595886230469,29.663896560668945
2020-09-11,1591.89990234375,1787.1854248046875,134.5622100830078,317.2430419921875,131.10496520996094,1726.8134765625,710.4452514648438,92.70806884765625,118.4000015258789,45.2636833190918,76.00370025634766,29.224794387817383
2020-09-14,1603.65283203125,1879.8463134765625,132.22415161132812,342.7968444824219,120.4909896850586,1884.475830078125,718.0610961914062,101.01824951171875,118.25,45.64285659790039,77.96635437011719,29.273582458496094
