Date,^NSEBANK,HDFCBANK.NS,ICICIBANK.NS,SBIN.NS,KOTAKBANK.NS,AXISBANK.NS,INDUSINDBK.NS,BANDHANBNK.NS,IDFCFIRSTB.NS,RBLBANK.NS,FEDERALBNK.NS,CUB.NS,KARURVYSYA.NS
2020-08-10,21899.99609375,1008.6015625,351.4287109375,182.4131622314453,1356.102783203125,429.22979736328125,491.88134765625,296.14105224609375,28.399999618530273,178.58921813964844,51.78517532348633,117.44161224365234,32.504722595214844
2020-08-11,22226.94140625,1023.961181640625,355.10205078125,183.58970642089844,1360.4896240234375,446.0564880371094,504.0975646972656,295.35504150390625,30.299999237060547,182.7332763671875,52.217918395996094,116.9024429321289,32.97040557861328
2020-08-12,22263.7421875,1021.1292724609375,354.6187438964844,191.35498046875,1331.0784912109375,449.1430358886719,502.7938537597656,292.1617126464844,31.049999237060547,185.29864501953125,51.92942810058594,115.57901763916016,32.551292419433594
2020-08-13,22196.091796875,1016.6654663085938,355.7786865234375,190.0372314453125,1332.2249755859375,446.1560974121094,500.958984375,285.8242492675781,31.350000381469727,182.48660278320312,51.92942810058594,114.50067138671875,32.8306999206543
2020-08-14,21679.1484375,993.0498046875,349.3504333496094,184.9545135498047,1303.5115966796875,433.9591979980469,489.8051452636719,283.17138671875,30.25,174.83982849121094,50.583106994628906,118.96109008789062,33.436092376708984
2020-08-17,21700.59765625,991.4179077148438,348.1904296875,181.7542724609375,1323.551025390625,436.24920654296875,495.55108642578125,282.28704833984375,29.5,181.05592346191406,50.823516845703125,121.46089935302734,33.52922821044922
2020-08-18,22170.341796875,1014.21728515625,357.22869873046875,183.63677978515625,1365.22509765625,443.8659973144531,503.711181640625,282.974853515625,31.299999237060547,179.97056579589844,51.4485969543457,121.2158203125,33.342952728271484
2020-08-19,22285.640625,1023.9131469726562,361.9653625488281,185.47219848632812,1351.5166015625,442.27301025390625,504.24237060546875,284.5960388183594,31.149999618530273,182.338623046875,52.794921875,121.36286163330078,33.342952728271484
2020-08-20,21999.193359375,1016.6172485351562,355.4887390136719,183.30734252929688,1334.318603515625,433.0631103515625,495.79248046875,283.56439208984375,30.950000762939453,179.72389221191406,52.50641632080078,122.04908752441406,33.855201721191406
2020-08-21,22299.33984375,1042.2008056640625,358.7753601074219,186.7428741455078,1335.365478515625,438.53924560546875,495.93731689453125,287.0033264160156,30.899999618530273,181.69725036621094,53.75657272338867,126.75460815429688,33.80863952636719
2020-08-24,22832.734375,1072.34423828125,367.6685791015625,189.61367797851562,1383.0714111328125,443.8659973144531,511.0023193359375,289.8036193847656,32.150001525878906,181.99327087402344,54.52589416503906,127.4408187866211,33.436092376708984
2020-08-25,23091.8828125,1074.8878173828125,373.46856689453125,195.7317657470703,1395.882568359375,449.8399658203125,518.1002807617188,288.2806091308594,31.950000762939453,186.43333435058594,54.237403869628906,128.5191650390625,36.55617141723633
2020-08-26,23413.927734375,1073.6878662109375,376.3685302734375,197.5201416015625,1432.3721923828125,461.33990478515625,548.181884765625,292.8494873046875,32.45000076293945,197.73081970214844,54.52589416503906,132.0482940673828,37.44097137451172
2020-08-27,23600.076171875,1067.592041015625,379.12353515625,202.97933959960938,1415.72265625,470.997802734375,585.07177734375,305.67181396484375,31.899999618530273,200.098876953125,53.94890213012695,136.0185546875,37.62724304199219
2020-08-28,24523.515625,1069.8961181640625,396.0400695800781,211.6387939453125,1462.6807861328125,506.9909973144531,642.8209228515625,314.46563720703125,33.650001525878906,207.69630432128906,58.13210678100586,147.04708862304688,38.6517448425293
2020-08-31,23754.07421875,1071.192138671875,381.4434814453125,199.54380798339844,1397.12890625,494.5950012207031,608.5867309570312,300.4642639160156,32.0,193.34010314941406,53.1795768737793,132.34237670898438,35.62480545043945
2020-09-01,23811.72265625,1082.1839599609375,377.9151916503906,205.285400390625,1426.3404541015625,483.59295654296875,605.9310302734375,300.6607971191406,31.399999618530273,189.2947235107422,52.55450439453125,137.58706665039062,35.71793746948242
2020-09-02,23874.2734375,1088.7596435546875,379.3168640136719,203.54408264160156,1419.2120361328125,482.2985534667969,618.5817260742188,311.96014404296875,31.75,194.42544555664062,53.75657272338867,139.84178161621094,37.2081298828125
2020-09-03,23530.576171875,1085.6396484375,369.98858642578125,200.62623596191406,1392.49267578125,472.8895568847656,610.1801147460938,307.4403991699219,31.75,190.2320556640625,53.56424331665039,142.43963623046875,36.369895935058594
2020-09-04,23011.232421875,1074.5040283203125,360.1286926269531,194.46109008789062,1375.89306640625,453.2252502441406,595.0186157226562,308.96337890625,31.700000762939453,186.28533935546875,51.78517532348633,138.22427368164062,35.4850959777832
2020-09-07,22944.783203125,1066.05615234375,360.9503173828125,195.68470764160156,1364.6270751953125,456.7101135253906,587.8240356445312,301.7415771484375,31.700000762939453,184.2626495361328,50.823516845703125,137.24392700195312,34.78657150268555
2020-09-08,22744.13671875,1067.9281005859375,363.17364501953125,192.06089782714844,1346.63134765625,442.42230224609375,579.8087768554688,300.12042236328125,30.299999237060547,177.40521240234375,50.10227966308594,133.8618621826172,34.50716018676758
2020-09-09,22266.740234375,1052.6165771484375,355.3437194824219,183.40145874023438,1322.1553955078125,429.379150390625,583.8646850585938,295.60064697265625,29.399999618530273,173.26113891601562,49.33295440673828,127.8819580078125,33.52922821044922
2020-09-10,22465.9375,1046.90478515625,358.3403625488281,186.507568359375,1315.525390625,444.9114685058594,599.1710815429688,301.6924743652344,30.649999618530273,178.0958709716797,49.28487014770508,131.06796264648438,34.41402816772461
