Date,TATASTEEL.NS,JSWSTEEL.NS,HINDALCO.NS,VEDL.NS,JINDALSTEL.NS,SAIL.NS,HINDZINC.NS,NATIONALUM.NS,NMDC.NS,COALINDIA.NS,MOIL.NS,APLAPOLLO.NS,RATNAMANI.NS,WELCORP.NS,SARDAEN.NS,MAITHANALL.NS,GMDCLTD.NS,AIAENG.NS
2020-08-10,16.930084228515625,232.73641967773438,172.74037170410156,59.710601806640625,199.1849365234375,33.003055572509766,150.0406951904297,28.450504302978516,52.650455474853516,87.41387176513672,126.11041259765625,210.73724365234375,721.5697021484375,94.98286437988281,19.519176483154297,520.46728515625,37.13903045654297,1634.1839599609375
2020-08-11,17.188037872314453,240.851806640625,173.07887268066406,59.90138244628906,208.52171325683594,33.69602966308594,152.29302978515625,29.022785186767578,53.511226654052734,87.98873138427734,126.24153900146484,208.99346923828125,736.8165893554688,99.70222473144531,20.787776947021484,501.0688171386719,37.36195373535156,1578.126220703125
2020-08-12,17.10755729675293,243.74676513671875,170.0322265625,58.852149963378906,206.6444854736328,33.566097259521484,142.8826904296875,28.491382598876953,54.1424560546875,87.0418930053711,130.61277770996094,205.6946258544922,735.6085815429688,102.72628021240234,22.3879451751709,498.2695617675781,38.2536506652832,1615.2354736328125
2020-08-13,17.049776077270508,245.4552764892578,177.52796936035156,59.352909088134766,210.54718017578125,33.566097259521484,147.7266845703125,28.818403244018555,53.45383834838867,87.21098327636719,130.26307678222656,209.9324188232422,744.9135131835938,101.80989074707031,23.00302505493164,495.8140563964844,38.2536506652832,1647.32470703125
2020-08-14,17.272645950317383,251.8621826171875,178.8820343017578,58.49445343017578,209.50975036621094,33.6527214050293,142.4507293701172,28.736650466918945,53.42515563964844,89.17229461669922,130.17564392089844,217.28521728515625,734.4332885742188,97.41127014160156,21.787282943725586,486.1394348144531,38.78866195678711,1678.3802490234375
2020-08-17,17.542984008789062,255.89613342285156,186.23269653320312,61.02214813232422,220.92138671875,33.825965881347656,141.86453247070312,29.186290740966797,54.37199783325195,91.97901153564453,129.47625732421875,226.49609375,734.2374267578125,100.20623016357422,22.166902542114258,488.7913513183594,40.750389099121094,1647.0787353515625
2020-08-18,17.933012008666992,263.0624084472656,189.5695037841797,60.47368240356445,222.20579528808594,35.29853820800781,144.36366271972656,29.59506607055664,54.48676681518555,92.41860961914062,137.257080078125,228.91061401367188,736.71875,105.20050048828125,22.551326751708984,499.54644775390625,42.57836151123047,1647.964599609375
2020-08-19,17.817447662353516,264.39117431640625,190.34324645996094,61.546756744384766,224.6758575439453,35.601722717285156,142.9443817138672,31.638927459716797,56.036155700683594,91.3703384399414,138.69956970214844,224.60325622558594,762.1520385742188,105.97942352294922,22.152484893798828,514.377685546875,43.5146369934082,1663.762939453125
2020-08-20,17.85459327697754,268.2828369140625,192.4710693359375,61.49906921386719,232.03660583496094,36.20807647705078,137.79185485839844,32.047698974609375,55.80661392211914,93.66980743408203,133.80381774902344,225.31369018554688,750.7576293945312,106.25434112548828,22.296646118164062,518.6993408203125,45.966793060302734,1659.431884765625
2020-08-21,17.699819564819336,267.5709533691406,189.811279296875,62.333683013916016,220.92138671875,36.771121978759766,139.79733276367188,31.107519149780273,55.14668655395508,94.34609985351562,131.92416381835938,231.65797424316406,772.011962890625,106.20852661132812,24.25240707397461,571.8853759765625,45.29802322387695,1724.397705078125
2020-08-24,17.726648330688477,271.22528076171875,186.9580841064453,61.42752456665039,223.09503173828125,36.20807647705078,140.72293090820312,30.821380615234375,54.917152404785156,94.54902648925781,130.30679321289062,238.3599395751953,763.6212768554688,107.67472839355469,24.680078506469727,562.8982543945312,44.04965591430664,1775.189208984375
2020-08-25,17.499649047851562,270.4184265136719,185.02371215820312,62.023677825927734,219.34054565429688,35.601722717285156,139.3654022216797,30.20822525024414,54.1424560546875,94.98861694335938,127.8151626586914,243.11444091796875,759.964599609375,104.4674072265625,26.4532413482666,561.4249267578125,43.38088607788086,1802.65185546875
2020-08-26,17.54092025756836,271.6523742675781,187.15151977539062,61.49906921386719,219.09353637695312,35.9048957824707,139.45794677734375,30.65787124633789,55.20407485961914,96.00308227539062,131.57447814941406,247.35223388671875,773.6444091796875,105.33796691894531,27.515213012695312,556.46484375,44.85218048095703,1820.61572265625
2020-08-27,17.617273330688477,274.59478759765625,188.50558471679688,60.97445297241211,213.56060791015625,35.25522994995117,146.33828735351562,30.33085823059082,55.14668655395508,95.05626678466797,130.8750457763672,243.33799743652344,770.5427856445312,105.84197235107422,26.856884002685547,565.5502319335938,44.76301193237305,1811.5601806640625
2020-08-28,17.507902145385742,266.43194580078125,187.44168090820312,61.45137405395508,213.7088165283203,35.4717903137207,141.12405395507812,30.698745727539062,61.688541412353516,94.04177856445312,133.9786376953125,241.63392639160156,770.4774780273438,103.73429107666016,26.56376075744629,554.5004272460938,44.54008483886719,1798.025634765625
2020-08-31,17.04564666748047,256.0859680175781,179.17218017578125,61.355979919433594,202.6429901123047,33.34954833984375,139.82818603515625,29.308923721313477,55.74922561645508,90.86309051513672,128.90797424316406,238.7772674560547,769.1388549804688,98.55675506591797,24.079416275024414,532.2045288085938,41.240821838378906,1773.417236328125
2020-09-01,17.691564559936523,272.22186279296875,187.68348693847656,62.95367431640625,215.38845825195312,34.735496520996094,140.26014709472656,30.412614822387695,55.3762321472168,90.25439453125,134.02236938476562,238.39967346191406,770.0530395507812,99.06075286865234,25.021257400512695,539.9639282226562,41.4637451171875,1801.962890625
