Date,BHARTIARTL.NS,RELIANCE.NS,IDEA.NS,TATACOMM.NS,STLTECH.NS,TEJASNET.NS,ONMOBILE.NS,TANLA.NS,ITI.NS,HFCL.NS,GTPL.NS,AKSHOPTFBR.NS
2020-08-10,540.6137084960938,1930.090576171875,9.100000381469727,803.6849365234375,125.24006652832031,63.849998474121094,34.733585357666016,158.56564331054688,141.3000030517578,16.978527069091797,96.3287582397461,5.050000190734863
2020-08-11,533.1166381835938,1942.7916259765625,8.699999809265137,770.2883911132812,129.2863006591797,67.0,36.434818267822266,161.37554931640625,137.8000030517578,16.432432174682617,93.18313598632812,5.300000190734863
2020-08-12,529.8275146484375,1937.1466064453125,8.850000381469727,740.8485717773438,125.96261596679688,70.3499984741211,36.95463943481445,150.86265563964844,142.85000610351562,16.730304718017578,89.90076446533203,5.25
2020-08-13,517.8805541992188,1932.0936279296875,9.050000190734863,729.8262329101562,127.79305267333984,69.80000305175781,35.48968505859375,165.92953491210938,140.89999389648438,15.88634204864502,92.63607788085938,5.300000190734863
2020-08-14,511.350830078125,1924.58203125,8.949999809265137,766.2846069335938,125.48091125488281,67.0999984741211,34.49729919433594,166.55934143066406,137.89999389648438,15.290602684020996,89.1257553100586,5.550000190734863
2020-08-17,504.3857421875,1904.1416015625,8.949999809265137,797.6557006835938,144.1705780029297,66.94999694824219,36.19853591918945,158.95323181152344,141.0,16.382789611816406,91.0860595703125,5.800000190734863
2020-08-18,509.1258850097656,1928.9068603515625,8.850000381469727,828.83837890625,142.53282165527344,66.69999694824219,37.9470329284668,160.16439819335938,140.9499969482422,15.88634204864502,97.87876892089844,6.050000190734863
2020-08-19,518.3641967773438,1940.7430419921875,8.699999809265137,852.1077270507812,143.54437255859375,66.5999984741211,37.8997688293457,175.13438415527344,145.10000610351562,15.7870512008667,99.00436401367188,6.349999904632568
2020-08-20,508.4002990722656,1909.3314208984375,8.5,855.2776489257812,140.8950958251953,66.8499984741211,37.238182067871094,192.6236114501953,142.6999969482422,15.93598461151123,96.70629119873047,6.650000095367432
2020-08-21,503.2732849121094,1895.4920654296875,8.5,842.455810546875,142.8218536376953,65.5999984741211,37.8997688293457,202.21603393554688,140.4499969482422,17.127460479736328,96.14350128173828,6.949999809265137
2020-08-24,509.7062683105469,1908.1478271484375,9.100000381469727,842.3139038085938,164.0644989013672,63.849998474121094,37.85251235961914,212.29293823242188,140.85000610351562,17.723201751708984,94.8772201538086,7.25
2020-08-25,511.39923095703125,1895.719482421875,9.0,837.9137573242188,161.22250366210938,64.94999694824219,37.33269119262695,222.90272521972656,138.6999969482422,17.177106857299805,96.89389038085938,7.599999904632568
2020-08-26,497.7109069824219,1945.978271484375,8.899999618530273,824.9500122070312,165.94309997558594,64.4000015258789,37.61623001098633,234.04542541503906,137.6999969482422,16.8295955657959,97.12837982177734,7.949999809265137
2020-08-27,494.47021484375,1921.6685791015625,8.850000381469727,835.3115234375,162.45213317871094,61.95000076293945,37.09640884399414,245.7210693359375,136.0500030517578,16.928882598876953,99.80164337158203,8.300000190734863
2020-08-28,506.3688659667969,1926.7218017578125,10.100000381469727,824.80810546875,157.04364013671875,63.900001525878906,37.1436653137207,233.4640655517578,137.6999969482422,16.432432174682617,97.12837982177734,7.900000095367432
2020-08-31,496.3565979003906,1894.4449462890625,10.199999809265137,823.8618774414062,147.40663146972656,60.75,35.300662994384766,221.83688354492188,133.85000610351562,15.290602684020996,92.34465026855469,7.550000190734863
2020-09-01,528.4248657226562,1900.4088134765625,8.850000381469727,823.1521606445312,152.61846923828125,59.900001525878906,33.55216598510742,210.7910919189453,132.0,15.290602684020996,86.20085906982422,7.199999809265137
2020-09-02,532.5845336914062,1937.6929931640625,9.899999618530273,817.0960083007812,152.27430725097656,58.54999923706055,33.88296127319336,200.2781524658203,133.9499969482422,15.240959167480469,91.92256927490234,6.849999904632568
2020-09-03,520.444091796875,1923.0341796875,12.550000190734863,840.5632934570312,149.5208740234375,58.45000076293945,34.82809066772461,210.25814819335938,135.5,17.177106857299805,90.23419189453125,7.150000095367432
2020-09-04,506.07861328125,1891.3038330078125,12.050000190734863,858.4949340820312,144.40736389160156,61.349998474121094,36.48207473754883,220.77105712890625,135.3000030517578,16.333145141601562,88.6865234375,7.199999809265137
2020-09-07,498.6299133300781,1896.220458984375,12.300000190734863,840.3267211914062,153.79852294921875,64.4000015258789,38.27782440185547,231.76844787597656,132.4499969482422,16.77994728088379,86.5760498046875,6.900000095367432
2020-09-08,481.8460998535156,1918.4818115234375,11.300000190734863,842.2192993164062,148.4391632080078,67.5999984741211,40.168087005615234,243.34718322753906,127.44999694824219,16.482080459594727,86.06015014648438,6.849999904632568
2020-09-09,487.79541015625,1967.8756103515625,11.100000381469727,825.6124267578125,145.93157958984375,70.94999694824219,40.9714469909668,255.50730895996094,119.69999694824219,15.98563003540039,80.76053619384766,6.550000190734863
2020-09-10,481.12054443359375,2106.86083984375,11.399999618530273,825.0919189453125,147.6524658203125,74.44999694824219,42.86171340942383,268.24871826171875,134.6999969482422,15.83669662475586,85.30976867675781,6.650000095367432
2020-09-11,475.6065979003906,2112.09619140625,11.149999618530273,816.717529296875,146.61993408203125,73.05000305175781,44.98825454711914,259.4798583984375,137.0,15.7870512008667,87.18573760986328,6.599999904632568
2020-09-14,458.6292419433594,2096.436279296875,11.550000190734863,845.5784301757812,152.3726348876953,76.69999694824219,47.20931625366211,267.47357177734375,134.0,16.084918975830078,87.5609359741211,6.599999904632568
