Date,HINDUNILVR.NS,NESTLEIND.NS,BRITANNIA.NS,DABUR.NS,GODREJCP.NS,MARICO.NS,COLPAL.NS,EMAMILTD.NS,PGHH.NS,VBL.NS,JUBLFOOD.NS,UBL.NS,MCDOWELL-N.NS,RADICO.NS,BAJAJCON.NS,GILLETTE.NS,TATACONSUM.NS,ITC.NS,DMART.NS,FCONSUMER.NS
2020-08-10,2077.40087890625,1588.4039306640625,3608.1982421875,488.9842224121094,671.11474609375,349.94781494140625,1325.1373291015625,286.43084716796875,9677.0087890625,162.5244140625,373.0416259765625,949.822021484375,,379.47467041015625,159.82077026367188,4670.556640625,504.2608642578125,171.00827026367188,2116.5,11.550000190734863
2020-08-11,2081.072265625,1584.3106689453125,3550.315673828125,493.40728759765625,676.8221435546875,347.4167785644531,1326.4188232421875,311.053955078125,9610.478515625,162.1739959716797,373.56719970703125,950.7048950195312,,372.32965087890625,163.49681091308594,4673.65185546875,499.99658203125,174.6201934814453,2131.949951171875,11.0
2020-08-12,2066.434326171875,1576.4998779296875,3486.43896484375,484.2247314453125,678.9379272460938,341.2764892578125,1322.9866943359375,307.5097351074219,9587.9560546875,161.24307250976562,369.7688903808594,945.800048828125,,377.5529479980469,165.072265625,4727.25048828125,501.5956726074219,175.60922241210938,2169.199951171875,11.25
2020-08-13,2069.776123046875,1570.1474609375,3485.066162109375,480.22161865234375,697.8806762695312,343.1982727050781,1312.78173828125,303.0328063964844,9567.505859375,168.81072998046875,375.51104736328125,967.2341918945312,,395.93292236328125,160.56471252441406,4713.7919921875,522.4329223632812,173.24424743652344,2207.10009765625,11.199999809265137
2020-08-14,2046.4765625,1558.758056640625,3478.751953125,479.4981689453125,673.6732177734375,343.3857421875,1291.5479736328125,305.41119384765625,9465.966796875,168.21743774414062,370.8399658203125,945.2604370117188,,392.13861083984375,157.54510498046875,4736.81640625,520.9307250976562,168.9013214111328,2178.0,11.149999618530273
2020-08-17,2067.328369140625,1565.2584228515625,3540.340576171875,478.0030822753906,670.7703857421875,346.8542785644531,1300.7919921875,328.30877685546875,9473.6484375,171.40379333496094,374.3309020996094,953.8931274414062,,384.5993957519531,156.888671875,4759.3251953125,526.9879760742188,170.9222869873047,2189.75,10.699999809265137
2020-08-18,2084.555908203125,1577.810302734375,3582.1162109375,479.4017333984375,679.72509765625,349.9010009765625,1310.2647705078125,317.1630859375,9460.736328125,171.44775390625,379.9837341308594,987.577880859375,,386.2748107910156,160.5209503173828,4755.94873046875,528.9263916015625,170.75030517578125,2259.449951171875,10.199999809265137
2020-08-19,2065.022216796875,1557.905029296875,3546.517333984375,476.70086669921875,679.626708984375,350.1352844238281,1300.380126953125,325.60406494140625,9374.9814453125,164.9651641845703,385.1705627441406,998.3471069335938,,397.1155090332031,160.9585723876953,4771.75146484375,531.3008422851562,170.66427612304688,2266.60009765625,10.699999809265137
2020-08-20,2057.5849609375,1545.152587890625,3539.837158203125,475.1575012207031,678.1998901367188,349.8541259765625,1308.80029296875,328.495361328125,9500.3642578125,164.45974731445312,390.2879333496094,1008.2803344726562,,396.869140625,157.8514404296875,4898.26953125,532.3184814453125,168.38531494140625,2285.89990234375,11.199999809265137
2020-08-21,2072.976806640625,1578.5108642578125,3553.244384765625,474.5306091308594,672.5908203125,352.6664733886719,1291.0904541015625,333.1589050292969,9582.255859375,164.83331298828125,392.3407897949219,1022.885498046875,,399.7414245605469,160.73976135253906,5018.2236328125,528.974853515625,169.2453155517578,2259.449951171875,10.649999618530273
2020-08-24,2065.775146484375,1570.5860595703125,3576.671630859375,473.1319274902344,674.3621215820312,350.4634704589844,1298.732666015625,333.8583679199219,9576.2236328125,168.85472106933594,421.24993896484375,1036.8017578125,,404.2479248046875,157.063720703125,5022.5830078125,528.7325439453125,169.15928649902344,2250.300048828125,10.149999618530273
2020-08-25,2051.3720703125,1552.419921875,3566.1474609375,474.5306091308594,666.9326171875,346.1043701171875,1294.0191650390625,332.41265869140625,9707.8720703125,167.52523803710938,417.8879089355469,1042.4078369140625,,405.9811706542969,155.1819305419922,5078.19873046875,528.7325439453125,168.04132080078125,2341.14990234375,10.399999618530273
2020-08-26,2054.85498046875,1543.065185546875,3580.54736328125,478.388916015625,670.3767700195312,347.0417785644531,1291.181884765625,331.10693359375,9651.8486328125,168.55801391601562,411.9771728515625,1037.98193359375,,403.20794677734375,157.9827423095703,5181.55029296875,532.2216186523438,167.6543426513672,2410.10009765625,10.449999809265137
2020-08-27,2043.982177734375,1535.788330078125,3568.718994140625,475.68804931640625,667.9166259765625,351.21337890625,1285.278564453125,335.4439697265625,9541.30859375,167.1077117919922,430.0069580078125,1027.901123046875,,416.7769470214844,156.4947967529297,5297.42333984375,527.8602905273438,167.05233764648438,2380.85009765625,10.949999809265137
2020-08-28,2025.813720703125,1534.6019287109375,3547.446533203125,471.781494140625,660.2411499023438,350.8852844238281,1272.3736572265625,329.9876708984375,9549.2255859375,165.74526977539062,430.0367126464844,1023.8688354492188,,409.1506042480469,156.93243408203125,5279.88671875,530.1862182617188,168.17031860351562,2319.39990234375,11.449999809265137
2020-08-31,1993.241455078125,1520.143310546875,3484.050048828125,457.794921875,640.90478515625,345.8231201171875,1247.707763671875,332.9256896972656,9411.2626953125,161.73486328125,415.9341735839844,993.9706420898438,,397.9586181640625,150.5430908203125,5091.65771484375,515.939453125,164.34336853027344,2251.25,12.0
