Date,^CNXFMCG,HINDUNILVR.NS,NESTLEIND.NS,BRITANNIA.NS,DABUR.NS,GODREJCP.NS,MARICO.NS,COLPAL.NS,EMAMILTD.NS,PGHH.NS,VBL.NS,JUBLFOOD.NS,UBL.NS,MCDOWELL-N.NS,RADICO.NS,BAJAJCON.NS,GILLETTE.NS,TATACONSUM.NS,ITC.NS,DMART.NS,FCONSUMER.NS
2020-08-10,31621.75,2077.4013671875,1588.404052734375,3608.19775390625,488.98419189453125,671.1148071289062,349.94781494140625,1325.1375732421875,286.43084716796875,9677.0087890625,162.52444458007812,373.0415954589844,949.822021484375,,379.4746398925781,159.82077026367188,4670.55615234375,504.26092529296875,171.00827026367188,2116.5,11.550000190734863
2020-08-11,31767.75,2081.072509765625,1584.310546875,3550.315673828125,493.4073181152344,676.8222045898438,347.4167785644531,1326.4188232421875,311.0539855957031,9610.4794921875,162.1739959716797,373.56719970703125,950.7049560546875,,372.32965087890625,163.49681091308594,4673.65234375,499.9965515136719,174.62022399902344,2131.949951171875,11.0
2020-08-12,31636.69921875,2066.43408203125,1576.499755859375,3486.439453125,484.22467041015625,678.9379272460938,341.2764892578125,1322.986572265625,307.509765625,9587.9560546875,161.2430877685547,369.7689208984375,945.8001098632812,,377.55291748046875,165.072265625,4727.25048828125,501.59564208984375,175.6092071533203,2169.199951171875,11.25
2020-08-13,31668.150390625,2069.776123046875,1570.1475830078125,3485.066162109375,480.2215881347656,697.8807373046875,343.1982421875,1312.7818603515625,303.03277587890625,9567.5068359375,168.81076049804688,375.51104736328125,967.2342529296875,,395.932861328125,160.56472778320312,4713.79296875,522.432861328125,173.24424743652344,2207.10009765625,11.199999809265137
2020-08-14,31237.94921875,2046.476806640625,1558.758056640625,3478.751953125,479.4981994628906,673.6732177734375,343.3857421875,1291.5479736328125,305.41119384765625,9465.966796875,168.2174530029297,370.8399658203125,945.260498046875,,392.13861083984375,157.54510498046875,4736.81640625,520.9307250976562,168.9012908935547,2178.0,11.149999618530273
2020-08-17,31545.150390625,2067.32861328125,1565.25830078125,3540.340576171875,478.0030517578125,670.7703857421875,346.8542785644531,1300.7918701171875,328.308837890625,9473.646484375,171.40377807617188,374.33087158203125,953.89306640625,,384.59942626953125,156.88865661621094,4759.3251953125,526.9879760742188,170.92225646972656,2189.75,10.699999809265137
2020-08-18,31726.150390625,2084.555908203125,1577.8104248046875,3582.11669921875,479.4017333984375,679.72509765625,349.9010009765625,1310.2646484375,317.16314697265625,9460.736328125,171.44773864746094,379.9837646484375,987.577880859375,,386.2747802734375,160.52096557617188,4755.9482421875,528.9263916015625,170.75027465820312,2259.449951171875,10.199999809265137
2020-08-19,31586.05078125,2065.022216796875,1557.9051513671875,3546.517333984375,476.7008361816406,679.626708984375,350.1353759765625,1300.380126953125,325.60400390625,9374.982421875,164.96514892578125,385.17059326171875,998.3471069335938,,397.11553955078125,160.9585723876953,4771.75244140625,531.3008422851562,170.6642608642578,2266.60009765625,10.699999809265137
2020-08-20,31439.900390625,2057.5849609375,1545.1524658203125,3539.83740234375,475.1575622558594,678.1998901367188,349.8540954589844,1308.8004150390625,328.49542236328125,9500.36328125,164.45974731445312,390.2879333496094,1008.2803955078125,,396.8691711425781,157.85145568847656,4898.27001953125,532.3184814453125,168.3853302001953,2285.89990234375,11.199999809265137
2020-08-21,31604.400390625,2072.976806640625,1578.5111083984375,3553.244384765625,474.5305480957031,672.5908203125,352.6664733886719,1291.0904541015625,333.15887451171875,9582.2548828125,164.83331298828125,392.3407897949219,1022.8854370117188,,399.74139404296875,160.73976135253906,5018.22216796875,528.9747924804688,169.24530029296875,2259.449951171875,10.649999618530273
2020-08-24,31642.0,2065.774658203125,1570.5860595703125,3576.671630859375,473.13189697265625,674.3621215820312,350.46343994140625,1298.7325439453125,333.8584289550781,9576.224609375,168.85470581054688,421.2499084472656,1036.8017578125,,404.2478942871094,157.06370544433594,5022.58349609375,528.7325439453125,169.1593017578125,2250.300048828125,10.149999618530273
2020-08-25,31460.30078125,2051.371826171875,1552.4200439453125,3566.147705078125,474.5305480957031,666.9326171875,346.10430908203125,1294.0191650390625,332.41265869140625,9707.87109375,167.5252227783203,417.8879089355469,1042.40771484375,,405.981201171875,155.1819305419922,5078.19921875,528.7325439453125,168.04132080078125,2341.14990234375,10.399999618530273
2020-08-26,31408.44921875,2054.85498046875,1543.0654296875,3580.54736328125,478.3889465332031,670.3767700195312,347.0417785644531,1291.181884765625,331.10693359375,9651.849609375,168.55804443359375,411.9771728515625,1037.9820556640625,,403.20794677734375,157.98272705078125,5181.55078125,532.2215576171875,167.65435791015625,2410.10009765625,10.449999809265137
2020-08-27,31314.44921875,2043.982177734375,1535.78857421875,3568.718994140625,475.68804931640625,667.9166259765625,351.2134094238281,1285.2784423828125,335.4439392089844,9541.3095703125,167.10769653320312,430.0069580078125,1027.9012451171875,,416.7769470214844,156.49481201171875,5297.42431640625,527.8602905273438,167.05233764648438,2380.85009765625,10.949999809265137
2020-08-28,31253.44921875,2025.8134765625,1534.6019287109375,3547.4462890625,471.781494140625,660.2411499023438,350.88525390625,1272.3734130859375,329.9877014160156,9549.2255859375,165.7452850341797,430.0367126464844,1023.8688354492188,,409.1506042480469,156.9324188232422,5279.88671875,530.186279296875,168.1703338623047,2319.39990234375,11.449999809265137
