Date,RELIANCE.NS,BHARTIARTL.NS,ZEEL.NS,SUNTV.NS,DISHTV.NS,HATHWAY.NS,TV18BRDCST.NS,NETWORK18.NS,DEN.NS,SITINET.NS,INOXLEISUR.NS,EROSMEDIA.NS,UFO.NS,JAGRAN.NS,DBCORP.NS,RADIOCITY.NS,ENIL.NS,NEXTMEDIA.NS,TVTODAY.NS
2020-08-10,1930.090576171875,540.6137084960938,147.22105407714844,358.9405822753906,7.949999809265137,37.70000076293945,33.650001525878906,40.95000076293945,83.1500015258789,1.75,230.10000610351562,21.049999237060547,70.5,35.7626838684082,62.406944274902344,17.049999237060547,126.02967834472656,4.900000095367432,158.13400268554688
2020-08-11,1942.7916259765625,533.1166381835938,155.5460662841797,357.99371337890625,7.849999904632568,39.54999923706055,34.04999923706055,40.900001525878906,84.80000305175781,1.75,235.60000610351562,24.450000762939453,76.1500015258789,36.092506408691406,61.3898811340332,17.200000762939453,122.51529693603516,5.099999904632568,167.92361450195312
2020-08-12,1937.1466064453125,529.8275146484375,157.006591796875,362.41229248046875,8.600000381469727,38.25,33.70000076293945,40.900001525878906,82.30000305175781,1.7999999523162842,251.1999969482422,29.25,77.4000015258789,36.846397399902344,64.15629577636719,16.950000762939453,123.83319091796875,5.199999809265137,163.83523559570312
2020-08-13,1932.0936279296875,517.8805541992188,158.02896118164062,365.7937927246094,8.399999618530273,37.349998474121094,33.70000076293945,41.099998474121094,82.1500015258789,1.75,259.45001220703125,27.100000381469727,80.5999984741211,36.75216293334961,65.49882507324219,17.0,127.88448333740234,5.449999809265137,162.37240600585938
2020-08-14,1924.58203125,511.350830078125,156.95791625976562,360.834228515625,7.949999809265137,37.04999923706055,33.04999923706055,40.150001525878906,81.94999694824219,1.7000000476837158,257.0,24.549999237060547,75.4000015258789,37.45893478393555,64.35970306396484,18.450000762939453,137.35379028320312,5.699999809265137,156.78370666503906
2020-08-17,1904.1416015625,504.3857421875,165.6237030029297,384.36981201171875,8.199999809265137,37.54999923706055,32.849998474121094,39.900001525878906,81.30000305175781,1.75,257.1499938964844,24.100000381469727,74.44999694824219,37.788761138916016,64.44107818603516,19.200000762939453,151.0696563720703,5.949999809265137,172.12449645996094
2020-08-18,1928.9068603515625,509.1258850097656,169.37237548828125,391.5838317871094,8.399999618530273,38.0,34.04999923706055,41.849998474121094,85.3499984741211,1.75,262.3999938964844,24.100000381469727,74.94999694824219,39.437896728515625,64.19699096679688,19.5,155.80430603027344,6.199999809265137,170.28660583496094
2020-08-19,1940.7430419921875,518.3641967773438,191.62107849121094,394.8301086425781,9.0,37.5,33.29999923706055,40.70000076293945,82.69999694824219,1.7000000476837158,281.75,25.5,78.0,39.20230484008789,64.60380554199219,19.649999618530273,154.1935577392578,6.5,169.34890747070312
2020-08-20,1909.3314208984375,508.4002990722656,194.20132446289062,424.7680969238281,8.800000190734863,36.79999923706055,34.849998474121094,41.349998474121094,83.0999984741211,1.7000000476837158,309.20001220703125,25.350000381469727,80.19999694824219,38.966712951660156,65.74292755126953,19.850000381469727,153.0220947265625,6.400000095367432,170.8117218017578
2020-08-21,1895.4920654296875,503.2732849121094,186.99607849121094,427.92425537109375,9.050000190734863,37.04999923706055,35.04999923706055,40.75,82.69999694824219,1.75,303.6000061035156,27.149999618530273,78.5,39.485015869140625,64.84789276123047,20.549999237060547,153.9006805419922,6.300000190734863,170.586669921875
2020-08-24,1908.1478271484375,509.7062683105469,196.29476928710938,423.370361328125,9.050000190734863,36.45000076293945,33.849998474121094,40.25,82.05000305175781,1.7999999523162842,300.29998779296875,26.25,79.1500015258789,39.29654312133789,64.03424835205078,21.299999237060547,156.04837036132812,6.599999904632568,169.79901123046875
2020-08-25,1895.719482421875,511.39923095703125,194.6881866455078,432.5682678222656,9.949999809265137,35.650001525878906,33.79999923706055,40.0,80.75,1.850000023841858,291.5,25.5,77.8499984741211,38.68400573730469,64.23766326904297,22.600000381469727,163.80929565429688,6.900000095367432,169.2363739013672
2020-08-26,1945.978271484375,497.7109069824219,205.93421936035156,437.43768310546875,10.899999618530273,35.70000076293945,34.150001525878906,39.900001525878906,80.69999694824219,1.899999976158142,292.29998779296875,25.649999618530273,84.75,39.01383590698242,64.31903076171875,22.100000381469727,171.96070861816406,6.75,171.7494354248047
2020-08-27,1921.6685791015625,494.47021484375,204.03555297851562,434.3717346191406,11.949999809265137,35.400001525878906,34.29999923706055,40.79999923706055,80.9000015258789,1.9500000476837158,294.5,24.700000762939453,88.1500015258789,40.4744987487793,65.62086486816406,21.149999618530273,170.88685607910156,6.75,174.82508850097656
2020-08-28,1926.7218017578125,506.3688659667969,208.22239685058594,429.81787109375,11.649999618530273,35.5,33.75,40.0,79.8499984741211,1.899999976158142,304.1499938964844,24.25,87.05000305175781,39.390777587890625,65.98702239990234,21.0,168.25108337402344,6.449999809265137,174.82508850097656
2020-08-31,1894.4449462890625,496.3565979003906,198.19345092773438,408.130859375,11.100000381469727,33.79999923706055,31.75,38.0,76.0,1.850000023841858,283.6499938964844,23.049999237060547,79.4000015258789,37.22334289550781,64.11561584472656,19.149999618530273,159.8555908203125,6.150000095367432,172.19952392578125
2020-09-01,1900.4088134765625,528.4248657226562,196.489501953125,420.4847717285156,10.550000190734863,33.20000076293945,31.450000762939453,37.20000076293945,75.75,1.7999999523162842,290.6000061035156,22.25,80.3499984741211,37.97723388671875,63.383331298828125,19.0,161.02706909179688,5.849999904632568,172.61212158203125
