Date,^BSESN,RELIANCE.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,TCS.NS,KOTAKBANK.NS,ITC.NS,HINDUNILVR.NS,LT.NS,SBIN.NS,AXISBANK.NS,BAJFINANCE.NS,BHARTIARTL.NS,ASIANPAINT.NS,MARUTI.NS,M&M.NS,HCLTECH.NS,TITAN.NS,SUNPHARMA.NS,BAJAJFINSV.NS,TATASTEEL.NS,ULTRACEMCO.NS,POWERGRID.NS,NTPC.NS,NESTLEIND.NS,TECHM.NS,WIPRO.NS,INDUSINDBK.NS,DRREDDY.NS
2020-08-10,38182.078125,1930.09033203125,1008.6015625,351.4287414550781,875.1578369140625,2116.472412109375,1356.1026611328125,171.00828552246094,2077.401123046875,902.128173828125,182.4131622314453,429.22979736328125,3393.39794921875,540.6137084960938,1724.763916015625,6345.6962890625,598.5323486328125,592.5537109375,1090.1478271484375,520.316162109375,639.154052734375,16.930082321166992,3885.631591796875,77.92298126220703,68.12007141113281,1588.404296875,599.62158203125,272.7912902832031,491.8813781738281,4574.580078125
2020-08-11,38407.01171875,1942.7916259765625,1023.9612426757812,355.1020202636719,872.489990234375,2113.7841796875,1360.4896240234375,174.62020874023438,2081.072509765625,903.8666381835938,183.5897216796875,446.0564880371094,3407.64013671875,533.1166381835938,1731.7314453125,6384.39208984375,599.1509399414062,585.4898071289062,1049.49658203125,517.6372680664062,642.90234375,17.188039779663086,3886.023193359375,77.74711608886719,68.15867614746094,1584.3106689453125,593.4218139648438,275.00390625,504.0975341796875,4481.93603515625
2020-08-12,38369.62890625,1937.1466064453125,1021.1292724609375,354.61871337890625,878.4694213867188,2092.876708984375,1331.078369140625,175.6092071533203,2066.433837890625,892.4496459960938,191.35498046875,449.1430358886719,3369.053955078125,529.8275146484375,1739.182861328125,6462.26171875,604.2901611328125,614.002197265625,1039.7523193359375,509.1224670410156,634.6019897460938,17.10755729675293,3916.279052734375,78.27467346191406,68.50621795654297,1576.500244140625,608.5914916992188,271.6112365722656,502.79388427734375,4406.11376953125
2020-08-13,38310.48828125,1932.0933837890625,1016.665283203125,355.7786865234375,875.019775390625,2090.18798828125,1332.2249755859375,173.24424743652344,2069.77587890625,930.928955078125,190.0372314453125,446.1560363769531,3370.433349609375,517.8805541992188,1744.3115234375,6521.6982421875,600.959228515625,620.424072265625,1080.4033203125,498.2635498046875,633.88330078125,17.049774169921875,3962.93603515625,78.5823974609375,69.4615707397461,1570.1475830078125,612.9885864257812,272.3979187011719,500.958984375,4390.6083984375
2020-08-14,37877.33984375,1924.58203125,993.0498046875,349.3504333496094,877.2275390625,2078.783935546875,1303.5115966796875,168.90130615234375,2046.4764404296875,923.5055541992188,184.95452880859375,433.9591979980469,3283.157958984375,511.350830078125,1744.3115234375,6382.72265625,584.7801513671875,607.1524047851562,1086.8011474609375,508.3570251464844,623.5714111328125,17.272647857666016,3926.511474609375,77.10966491699219,70.37712860107422,1558.758056640625,611.977294921875,271.9062805175781,489.8051452636719,4407.33251953125
2020-08-17,38050.78125,1904.1416015625,991.4178466796875,348.1904602050781,880.8151245117188,2089.21435546875,1323.5511474609375,170.92225646972656,2067.328369140625,940.4196166992188,181.75428771972656,436.2492370605469,3336.085205078125,504.3857421875,1777.35791015625,6557.30224609375,593.4882202148438,615.500732421875,1106.1915283203125,505.4869384765625,625.8074340820312,17.542984008789062,3951.47998046875,78.53844451904297,75.87035369873047,1565.25830078125,634.09423828125,277.2657470703125,495.5510559082031,4407.0888671875
2020-08-18,38528.3203125,1928.9068603515625,1014.2174072265625,357.2286682128906,890.060302734375,2104.373291015625,1365.22509765625,170.7502899169922,2084.5556640625,943.9434204101562,183.63677978515625,443.86602783203125,3370.679931640625,509.1258850097656,1813.5496826171875,6678.11279296875,592.5841064453125,611.733154296875,1127.5506591796875,503.2384948730469,633.1895141601562,17.933013916015625,4082.050048828125,78.14279174804688,75.67132568359375,1577.8104248046875,627.05908203125,278.00323486328125,503.7112121582031,4408.3076171875
2020-08-19,38614.7890625,1940.7430419921875,1023.9132080078125,361.96533203125,882.4710083007812,2092.181396484375,1351.5166015625,170.66427612304688,2065.022216796875,948.21875,185.47222900390625,442.2729797363281,3360.872802734375,518.3641967773438,1824.7747802734375,6772.28076171875,593.7738647460938,607.7945556640625,1130.3558349609375,503.62200927734375,628.7972412109375,17.817447662353516,4112.3056640625,77.9669418334961,75.35287475585938,1557.9049072265625,639.0629272460938,275.10223388671875,504.2424011230469,4377.9306640625
2020-08-20,38220.390625,1909.331298828125,1016.6173706054688,355.48870849609375,878.6533203125,2088.70458984375,1334.318603515625,168.38531494140625,2057.585205078125,935.6742553710938,183.30734252929688,433.0631103515625,3344.955810546875,508.4002990722656,1814.32373046875,6757.16796875,582.4959716796875,608.008544921875,1108.0125732421875,500.6505126953125,627.8389282226562,17.854591369628906,4057.86474609375,79.65948486328125,80.48784637451172,1545.1527099609375,638.7991333007812,269.64447021484375,495.79248046875,4365.0087890625
2020-08-21,38434.71875,1895.4920654296875,1042.2008056640625,358.77532958984375,872.8119506835938,2084.763916015625,1335.365478515625,169.24530029296875,2072.976806640625,934.1708374023438,186.7428741455078,438.53924560546875,3340.5205078125,503.2732849121094,1894.7391357421875,6755.52099609375,580.3546142578125,604.4124755859375,1120.2176513671875,510.2838134765625,627.13525390625,17.699817657470703,4100.50732421875,83.13249969482422,84.34902954101562,1578.5108642578125,644.2513427734375,268.80859375,495.93731689453125,4378.41796875
