Date,ULTRACEMCO.NS,SHREECEM.NS,AMBUJACEM.NS,ACC.NS,RAMCOCEM.NS,JKCEMENT.NS,DALBHARAT.NS,BIRLACORPN.NS,JKLAKSHMI.NS,HEIDELBERG.NS,INDIACEM.NS,ORIENTCEM.NS,STARCEMENT.NS,PRSMJOHNSN.NS,SAGCEM.NS,SANGHIIND.NS,NCLIND.NS,DECCANCE.NS,KCP.NS,MANGLMCEM.NS
2020-08-10,3885.631591796875,22086.947265625,200.7590789794922,1341.54931640625,675.4559326171875,1539.4071044921875,766.4848022460938,573.5602416992188,276.5602111816406,156.37672424316406,116.12513732910156,66.52958679199219,88.69999694824219,46.20000076293945,89.28290557861328,25.649999618530273,85.52824401855469,248.29991149902344,62.28605651855469,192.48373413085938
2020-08-11,3886.023193359375,21253.81640625,201.57350158691406,1353.333740234375,688.6586303710938,1499.661376953125,760.0487670898438,563.1976318359375,275.1528625488281,156.54940795898438,117.60381317138672,66.10311126708984,90.5,48.45000076293945,90.0060043334961,25.450000762939453,84.22176361083984,245.41783142089844,59.52317810058594,199.49473571777344
2020-08-12,3916.27880859375,21083.505859375,200.71383666992188,1347.9205322265625,692.1070556640625,1480.919921875,774.1002197265625,569.804931640625,276.41461181640625,154.6071014404297,115.0900650024414,65.2027816772461,88.44999694824219,48.5,91.16883087158203,25.049999237060547,83.1019058227539,255.13877868652344,61.268157958984375,201.55392456054688
2020-08-13,3962.93603515625,20943.564453125,200.89480590820312,1336.08837890625,692.5504150390625,1484.756591796875,777.8831176757812,578.361328125,271.2221374511719,154.99554443359375,114.94219970703125,64.96585845947266,88.1500015258789,47.75,90.83659362792969,24.350000381469727,83.00859069824219,264.0293273925781,60.347190856933594,199.1515350341797
2020-08-14,3926.511474609375,21161.759765625,199.76364135742188,1327.22607421875,668.46044921875,1484.018798828125,765.2566528320312,580.1902465820312,263.02093505859375,165.8724365234375,112.6256103515625,64.01814270019531,87.44999694824219,47.79999923706055,89.53697204589844,24.799999237060547,84.08177185058594,265.9833068847656,58.50526809692383,193.90554809570312
2020-08-17,3951.479736328125,21215.50390625,198.49673461914062,1329.4296875,659.9376831054688,1475.656494140625,750.5665283203125,574.5857543945312,261.8077392578125,166.5198516845703,113.51280975341797,63.733821868896484,88.3499984741211,48.20000076293945,91.99940490722656,24.950000762939453,84.78167724609375,282.3965759277344,63.49785232543945,192.97401428222656
2020-08-18,4082.050537109375,21611.5078125,206.50538635253906,1371.9202880859375,685.5056762695312,1482.887451171875,775.1809692382812,579.31298828125,260.837158203125,166.5630340576172,114.94219970703125,65.91356658935547,93.0,49.849998474121094,93.87554931640625,25.950000762939453,85.06163787841797,292.6548767089844,63.01313400268555,196.11181640625
2020-08-19,4112.30615234375,21776.201171875,205.3742218017578,1369.3814697265625,691.1709594726562,1502.2191162109375,767.12353515625,579.3617553710938,262.8267822265625,162.03099060058594,115.73082733154297,65.25016021728516,91.9000015258789,51.70000076293945,96.43569946289062,28.299999237060547,84.96833038330078,284.5948181152344,63.35243225097656,198.31805419921875
2020-08-20,4057.865234375,21775.11328125,203.92633056640625,1359.896484375,708.1178588867188,1508.1220703125,756.80615234375,577.9484252929688,266.32080078125,165.57029724121094,113.75926208496094,67.7616195678711,92.0,51.75,96.35752868652344,29.0,86.6480941772461,282.54315185546875,64.03104400634766,201.0146026611328
2020-08-21,4100.5068359375,22009.3828125,204.46926879882812,1362.4832763671875,719.497802734375,1498.3824462890625,760.7857666015625,579.2642822265625,273.69708251953125,168.0736846923828,116.17442321777344,67.71421813964844,91.05000305175781,57.099998474121094,97.373779296875,28.350000381469727,85.9948501586914,286.20684814453125,63.83715057373047,208.76101684570312
2020-08-24,4102.26953125,21903.861328125,202.88565063476562,1361.860595703125,709.792724609375,1475.509033203125,756.9535522460938,592.2764892578125,272.72650146484375,170.4907989501953,118.39242553710938,66.86128234863281,91.3499984741211,56.79999923706055,97.89165496826172,27.25,87.53462982177734,301.7408447265625,65.1943588256836,216.1642303466797
2020-08-25,4085.37890625,21509.38671875,201.21151733398438,1343.1302490234375,719.9411010742188,1471.9180908203125,739.6595458984375,601.29248046875,275.2984619140625,172.04461669921875,116.56873321533203,66.7191162109375,91.19999694824219,54.849998474121094,97.48126220703125,27.399999618530273,88.1412124633789,307.798095703125,64.56422424316406,210.7711639404297
2020-08-26,3994.611328125,21410.671875,199.85414123535156,1339.249755859375,714.9161987304688,1472.6558837890625,726.689208984375,622.0048828125,272.5809020996094,171.0950469970703,120.46257019042969,67.4299087524414,90.80000305175781,55.400001525878906,97.8232650756836,29.850000381469727,95.3735580444336,316.9817810058594,64.22492218017578,206.5547637939453
2020-08-27,3962.7890625,21230.541015625,200.3065948486328,1341.357666015625,703.14208984375,1493.1190185546875,727.4261474609375,621.419921875,270.93096923828125,168.76429748535156,120.06826782226562,65.81879425048828,90.69999694824219,57.70000076293945,96.90474700927734,29.799999237060547,96.26009368896484,312.292236328125,64.71073913574219,208.0255889892578
2020-08-28,3977.867919921875,21034.8359375,201.30203247070312,1337.8607177734375,709.0538330078125,1475.7056884765625,736.5151977539062,626.5371704101562,267.1943054199219,169.0232696533203,119.82182312011719,65.53447723388672,89.94999694824219,56.75,96.43569946289062,30.899999618530273,94.30036926269531,303.1574401855469,61.74726104736328,204.44656372070312
