Date,^CNXAUTO,MARUTI.NS,M&M.NS,BAJAJ-AUTO.NS,EICHERMOT.NS,HEROMOTOCO.NS,TATAMOTORS.NS,TVSMOTOR.NS,ASHOKLEY.NS,BHARATFORG.NS,MRF.NS,BOSCHLTD.NS,AMARAJABAT.NS,APOLLOTYRE.NS,EXIDEIND.NS,BALKRISIND.NS,CEATLTD.NS,ENDURANCE.NS,ESCORTS.NS,FORCEMOT.NS
2020-08-10,7621.2998046875,6345.69677734375,598.5323486328125,2684.37255859375,2062.20458984375,2471.989501953125,123.08535766601562,410.04705810546875,47.823150634765625,411.3383483886719,61410.73046875,12726.0029296875,,121.80902099609375,157.70436096191406,1313.4722900390625,864.2421875,951.4710693359375,1095.56396484375,918.1616821289062
2020-08-11,7630.35009765625,6384.3916015625,599.1510009765625,2696.611328125,2070.852783203125,2481.7783203125,121.54493713378906,408.3330383300781,48.56747817993164,402.3390808105469,61011.1328125,12417.5439453125,,120.51826477050781,157.55926513671875,1304.1700439453125,862.1168823242188,968.0650024414062,1100.2353515625,911.0203247070312
2020-08-12,7785.0498046875,6462.26123046875,604.2901611328125,2710.55419921875,2135.945556640625,2537.719970703125,124.57610321044922,409.067626953125,50.195701599121094,423.01300048828125,61184.15234375,13414.6416015625,,123.72124481201172,162.34698486328125,1328.606689453125,859.073974609375,970.1331176757812,1099.2518310546875,903.04736328125
2020-08-13,7879.75,6521.69775390625,600.9592895507812,2706.026123046875,2093.09423828125,2570.332763671875,130.3402862548828,421.26177978515625,56.84813690185547,489.2669372558594,63508.78515625,13479.7607421875,,126.063720703125,160.70272827148438,1335.7882080078125,860.7645263671875,941.91845703125,1104.721923828125,942.3251953125
2020-08-14,7677.64990234375,6382.72216796875,584.7800903320312,2678.768310546875,1945.4486083984375,2564.981689453125,123.83073425292969,409.5083923339844,57.3133430480957,481.532470703125,60984.625,12831.9453125,,124.24710845947266,157.55926513671875,1268.5987548828125,848.1580810546875,945.6607055664062,1084.8126220703125,930.2924194335938
2020-08-17,7865.5498046875,6557.3017578125,593.4882202148438,2793.58349609375,2041.1123046875,2677.8701171875,122.78721618652344,418.0296325683594,58.33679962158203,483.6727600097656,59708.32421875,13009.791015625,,123.67344665527344,158.9133758544922,1258.3807373046875,838.2081298828125,974.4170532226562,1136.0643310546875,924.6673583984375
2020-08-18,7941.85009765625,6678.11279296875,592.5841064453125,2783.89990234375,2067.187744140625,2675.080322265625,124.8245620727539,424.4939880371094,63.733177185058594,486.00775146484375,59765.35546875,12934.7021484375,,122.81293487548828,163.4109344482422,1292.98779296875,841.9273071289062,1005.9801635742188,1139.4154052734375,937.433837890625
2020-08-19,7941.35009765625,6772.28125,593.7737426757812,2743.55078125,2053.34375,2683.222412109375,124.37733459472656,425.7182922363281,64.43098449707031,476.7652587890625,59400.34765625,12748.3818359375,,122.2870864868164,160.84779357910156,1315.35205078125,844.052490234375,1031.0433349609375,1143.406982421875,1005.5219116210938
2020-08-20,7911.60009765625,6757.16796875,582.4959716796875,2723.0625,2063.96728515625,2704.262939453125,120.9486312866211,440.80181884765625,66.33833312988281,477.251708984375,59072.26171875,12881.521484375,,123.09977722167969,164.2814178466797,1341.3402099609375,844.8253173828125,1034.7364501953125,1123.59619140625,1059.8651123046875
2020-08-21,7934.7001953125,6755.52001953125,580.3545532226562,2737.587890625,2095.93896484375,2775.070556640625,120.15357971191406,443.98504638671875,64.52403259277344,476.5220031738281,59191.23828125,13292.22265625,,125.49006652832031,165.10353088378906,1320.762451171875,838.8360595703125,1024.4945068359375,1111.572021484375,1066.4686279296875
2020-08-24,7948.39990234375,6861.60546875,572.8837280273438,2725.21435546875,2101.93603515625,2758.23779296875,120.45172119140625,439.5775146484375,63.64015197753906,485.8617858886719,59162.84375,13292.59765625,,122.81293487548828,167.81175231933594,1327.23486328125,850.3316040039062,1060.587646484375,1112.8531494140625,1066.761962890625
2020-08-25,7983.60009765625,6888.2001953125,579.92626953125,2698.359619140625,2141.33935546875,2716.796142578125,126.31529998779297,436.3943176269531,65.08228302001953,486.2995910644531,58852.96875,13346.3408203125,,121.28315734863281,165.39370727539062,1327.8631591796875,853.8575439453125,1051.6751708984375,1102.0113525390625,1040.10400390625
2020-08-26,8100.5,6790.05859375,583.733154296875,2763.6357421875,2171.857421875,2891.527587890625,137.04861450195312,457.8932800292969,66.10574340820312,485.6185302734375,58902.9609375,13384.7275390625,,126.20713806152344,164.2814178466797,1347.7166748046875,909.4998168945312,1141.095703125,1109.6007080078125,1056.343505859375
2020-08-27,8183.0,6876.6220703125,606.0032348632812,2728.487060546875,2159.785400390625,2874.145751953125,143.3594207763672,449.7148742675781,67.45482635498047,497.050048828125,58882.90625,13244.4716796875,,129.5535430908203,168.63389587402344,1331.8724365234375,905.8289794921875,1079.200439453125,1139.513916015625,1040.5931396484375
2020-08-28,8111.85009765625,6882.53173828125,600.9116821289062,2702.619140625,2137.814453125,2798.718994140625,141.91836547851562,440.5080261230469,65.59400939941406,488.634521484375,59144.28515625,13115.1708984375,,127.68913269042969,166.699462890625,1332.9351806640625,905.58740234375,1109.286376953125,1124.680419921875,1138.274169921875
2020-08-31,7840.35009765625,6626.62109375,577.5947265625,2660.34228515625,2020.37744140625,2750.00439453125,142.31588745117188,423.955322265625,62.94233703613281,477.88409423828125,57563.51953125,11997.572265625,,118.12798309326172,158.67156982421875,1277.09423828125,848.3512573242188,1082.49951171875,1071.9503173828125,1056.930419921875
