Date,RELIANCE.NS,ONGC.NS,IOC.NS,GAIL.NS,BPCL.NS,HINDPETRO.NS,IGL.NS,PETRONET.NS,OIL.NS,GSPL.NS,GUJGASLTD.NS,MGL.NS,CASTROLIND.NS,ATGL.NS,MRPL.NS,GULFOILLUB.NS,ALPHAGEO.NS,SELAN.NS,HINDOILEXP.NS
2020-08-10,1930.090576171875,62.654327392578125,41.11655044555664,54.246341705322266,160.67112731933594,118.81301879882812,364.0400695800781,204.7144317626953,50.47638702392578,202.85324096679688,301.643310546875,864.7069702148438,99.28858947753906,163.04779052734375,33.868927001953125,562.3721923828125,156.6704559326172,106.09882354736328,79.5
2020-08-11,1942.7916259765625,62.17875671386719,41.09294509887695,54.38608932495117,166.1280975341797,118.81301879882812,364.3208312988281,204.300537109375,50.529293060302734,207.6454315185547,303.93365478515625,867.6997680664062,98.51575469970703,158.70187377929688,33.37664794921875,565.5659790039062,155.32025146484375,107.26270294189453,81.75
2020-08-12,1937.1466064453125,61.90135192871094,40.526466369628906,54.80530548095703,163.2448272705078,116.93628692626953,371.3863830566406,213.69602966308594,50.158931732177734,204.00338745117188,312.80267333984375,876.9909057617188,97.9056167602539,159.5010986328125,33.17973327636719,587.4275512695312,156.85667419433594,104.65562438964844,82.19999694824219
2020-08-13,1932.0936279296875,62.297645568847656,40.99853515625,54.44198226928711,162.9932403564453,117.21227264404297,368.2045593261719,219.53201293945312,50.264747619628906,204.29090881347656,317.38336181640625,879.0457153320312,99.0445327758789,159.40121459960938,32.588993072509766,568.0850830078125,159.78988647460938,102.6072006225586,82.8499984741211
2020-08-14,1924.58203125,61.1087646484375,40.03080749511719,53.631500244140625,159.93577575683594,115.16997528076172,363.0106506347656,215.1860809326172,49.78855895996094,202.2302703857422,305.7854309082031,868.2357788085938,99.28858947753906,158.0024871826172,32.83513641357422,575.4171752929688,156.20486450195312,102.6072006225586,77.94999694824219
2020-08-17,1904.1416015625,62.85246276855469,41.328975677490234,54.58171844482422,157.86520385742188,116.49470520019531,367.5494689941406,210.50901794433594,50.66157150268555,197.58184814453125,300.9123840332031,855.5944213867188,99.28858947753906,160.79989624023438,32.39208221435547,592.0157470703125,155.8323974609375,101.53644561767578,77.94999694824219
2020-08-18,1928.9068603515625,63.922454833984375,41.06934356689453,54.19044876098633,155.6979217529297,115.83232116699219,368.06414794921875,213.65464782714844,50.92613220214844,202.51780700683594,298.2321472167969,867.1190795898438,99.93938446044922,161.59913635253906,32.39208221435547,593.2752685546875,159.23118591308594,105.6332778930664,77.25
2020-08-19,1940.7430419921875,63.05060577392578,41.54140090942383,56.70573425292969,156.23977661132812,116.35671997070312,369.65509033203125,211.1298370361328,51.13777160644531,197.39016723632812,296.5753173828125,865.7789306640625,100.22412109375,162.54824829101562,33.081275939941406,592.6455078125,158.85870361328125,104.74873352050781,82.3499984741211
2020-08-20,1909.3314208984375,65.11134338378906,42.03706741333008,56.733680725097656,159.6261749267578,118.50940704345703,383.9733581542969,206.99085998535156,52.804443359375,196.4796600341797,305.2981262207031,904.3285522460938,100.10209655761719,167.5935516357422,33.868927001953125,592.9603881835938,158.57936096191406,103.49175262451172,80.75
2020-08-21,1895.4920654296875,64.23948669433594,41.94265365600586,56.87342834472656,158.71669006347656,117.26746368408203,389.4012145996094,206.245849609375,52.777984619140625,200.64886474609375,313.4361572265625,931.8893432617188,100.22412109375,165.29571533203125,33.91815185546875,611.5381469726562,164.44578552246094,112.80274963378906,91.4000015258789
2020-08-24,1908.1478271484375,64.39800262451172,41.70663070678711,56.789581298828125,158.5812225341797,116.82589721679688,390.94537353515625,205.25247192382812,51.481685638427734,201.27183532714844,311.87677001953125,947.0323486328125,101.32234954833984,170.99038696289062,33.72124099731445,653.0570678710938,167.89112854003906,108.51969146728516,90.25
2020-08-25,1895.719482421875,63.803565979003906,41.683021545410156,55.72756576538086,159.80030822753906,116.60509490966797,387.01483154296875,208.3153533935547,51.53458786010742,203.524169921875,318.6503601074219,927.8692016601562,99.98007202148438,185.0772247314453,33.37664794921875,625.0330200195312,166.8202667236328,125.88469696044922,87.19999694824219
2020-08-26,1945.978271484375,64.51690673828125,41.49419403076172,55.81140899658203,158.71669006347656,115.61153411865234,386.9212646484375,205.004150390625,51.640411376953125,209.4664764404297,318.60162353515625,906.8746337890625,99.8173599243164,185.97637939453125,33.475101470947266,626.607421875,169.14820861816406,122.34651947021484,85.5
2020-08-27,1921.6685791015625,63.526161193847656,41.163753509521484,55.448089599609375,159.81967163085938,115.03197479248047,380.79156494140625,201.4446258544922,51.77268981933594,209.32272338867188,318.2117614746094,886.9520874023438,99.73600769042969,184.6776123046875,33.37664794921875,618.2855834960938,172.59356689453125,118.15657806396484,84.8499984741211
2020-08-28,1926.7218017578125,63.684661865234375,41.446990966796875,55.39219665527344,160.63241577148438,115.6943359375,384.3945007324219,206.32861328125,51.24359130859375,203.90753173828125,312.75390625,886.4607543945312,99.57330322265625,186.37600708007812,32.982818603515625,605.465576171875,171.61582946777344,113.03553009033203,81.5
2020-08-31,1894.4449462890625,64.95281982421875,40.50286865234375,53.46381378173828,157.8265380859375,111.25092315673828,369.1404113769531,198.96124267578125,50.132469177246094,195.0899200439453,317.18841552734375,850.5020751953125,97.53954315185547,169.5916748046875,31.40751838684082,599.4378051757812,159.9295654296875,103.25897979736328,75.3499984741211
