Date,DMART.NS,FRETAIL.NS,ABFRL.NS,VMART.NS,TRENT.NS,SHOPERSTOP.NS,FLFL.NS,SPENCERS.NS,FCONSUMER.NS,FEL.NS,FMNL.NS,FSC.NS,ARVINDFASN.NS,CANTABIL.NS,KKCL.NS,SORILINFRA.NS,TCNSBRANDS.NS,V2RETAIL.NS,ZODIACLOTH.NS
2020-08-10,2116.5,107.4000015258789,118.94999694824219,1775.054443359375,579.7655029296875,151.2425994873047,120.05000305175781,88.4000015258789,11.550000190734863,18.700000762939453,23.700000762939453,144.14999389648438,120.57686614990234,62.482398986816406,139.09088134765625,51.79999923706055,336.25,44.20000076293945,117.9000015258789
2020-08-11,2131.949951171875,104.8499984741211,118.0,1785.15185546875,553.08447265625,154.7928924560547,118.25,86.80000305175781,11.0,18.299999237060547,22.75,140.9499969482422,122.56705474853516,62.3443603515625,137.5475311279297,51.95000076293945,337.3500061035156,48.599998474121094,118.19999694824219
2020-08-12,2169.199951171875,104.0,118.5999984741211,1794.0997314453125,552.138671875,155.97633361816406,119.0,86.8499984741211,11.25,17.450000762939453,23.049999237060547,138.9499969482422,128.6832733154297,60.2146110534668,137.58409118652344,53.849998474121094,335.8999938964844,49.29999923706055,118.8499984741211
2020-08-13,2207.10009765625,104.5,129.85000610351562,1793.3997802734375,572.5477294921875,165.6804656982422,119.4000015258789,86.05000305175781,11.199999809265137,16.799999237060547,23.399999618530273,139.64999389648438,135.0907440185547,62.47254180908203,139.60226440429688,56.349998474121094,346.45001220703125,49.099998474121094,119.44999694824219
2020-08-14,2178.0,103.30000305175781,129.25,1770.0057373046875,563.5379028320312,162.65089416503906,117.05000305175781,86.44999694824219,11.149999618530273,16.549999237060547,22.549999237060547,136.9499969482422,128.6832733154297,60.65830993652344,138.28726196289062,56.099998474121094,343.1499938964844,53.95000076293945,117.94999694824219
2020-08-17,2189.75,100.05000305175781,133.10000610351562,1788.6510009765625,557.6142578125,158.9585723876953,119.3499984741211,85.55000305175781,10.699999809265137,16.100000381469727,21.850000381469727,136.75,129.07159423828125,58.21304702758789,139.2917938232422,55.04999923706055,347.45001220703125,56.79999923706055,117.30000305175781
2020-08-18,2259.449951171875,99.75,136.35000610351562,1778.6036376953125,586.8340454101562,155.97633361816406,117.94999694824219,87.55000305175781,10.199999809265137,15.300000190734863,22.100000381469727,138.35000610351562,132.5666046142578,58.75534439086914,138.1685791015625,54.70000076293945,348.1000061035156,54.0,118.1500015258789
2020-08-19,2266.60009765625,119.05000305175781,140.0,1794.599609375,613.7141723632812,156.92308044433594,123.80000305175781,87.19999694824219,10.699999809265137,16.0,23.200000762939453,145.25,135.57615661621094,62.255615234375,138.3694610595703,55.599998474121094,352.8500061035156,54.150001525878906,117.6500015258789
2020-08-20,2285.89990234375,127.6500015258789,142.89999389648438,1929.815673828125,610.5283813476562,163.6449737548828,129.9499969482422,86.30000305175781,11.199999809265137,16.799999237060547,24.350000381469727,149.89999389648438,142.3234100341797,61.9598274230957,138.8625946044922,55.099998474121094,383.04998779296875,53.45000076293945,118.1500015258789
2020-08-21,2259.449951171875,122.3499984741211,146.4499969482422,2066.031494140625,603.3603515625,171.7869873046875,132.64999389648438,88.94999694824219,10.649999618530273,17.600000381469727,25.399999618530273,149.0,149.41046142578125,59.76106262207031,154.6519775390625,56.099998474121094,372.6000061035156,56.099998474121094,117.44999694824219
2020-08-24,2250.300048828125,114.1500015258789,149.5,2092.774658203125,619.9862670898438,176.42604064941406,126.19999694824219,90.4000015258789,10.149999618530273,17.350000381469727,24.299999237060547,143.75,156.83729553222656,60.10615158081055,148.48780822753906,61.70000076293945,386.25,58.900001525878906,117.0999984741211
2020-08-25,2341.14990234375,119.25,151.10000610351562,2030.2904052734375,643.8298950195312,180.875732421875,129.10000610351562,88.4000015258789,10.399999618530273,17.399999618530273,24.350000381469727,148.0,152.56565856933594,59.524417877197266,148.24124145507812,67.8499984741211,389.25,58.45000076293945,116.75
2020-08-26,2410.10009765625,117.44999694824219,149.0500030517578,2074.829345703125,647.0157470703125,183.95266723632812,132.1999969482422,93.4000015258789,10.449999809265137,18.25,24.200000762939453,148.0,159.50706481933594,61.131587982177734,147.82115173339844,74.5999984741211,410.0,60.95000076293945,117.80000305175781
2020-08-27,2380.85009765625,130.10000610351562,146.25,2042.9371337890625,645.9205932617188,178.84024047851562,138.8000030517578,91.1500015258789,10.949999809265137,19.149999618530273,25.399999618530273,148.0500030517578,152.27439880371094,62.92609786987305,148.7069854736328,78.30000305175781,443.1499938964844,60.45000076293945,116.4000015258789
2020-08-28,2319.39990234375,135.3000030517578,143.64999389648438,1996.8487548828125,647.5632934570312,179.21893310546875,145.5500030517578,90.0,11.449999809265137,20.100000381469727,26.649999618530273,151.35000610351562,150.9637908935547,61.11186599731445,146.51527404785156,74.4000015258789,449.25,59.099998474121094,116.8499984741211
2020-08-31,2251.25,162.35000610351562,139.89999389648438,1908.6209716796875,636.36328125,170.27218627929688,152.8000030517578,84.30000305175781,12.0,21.100000381469727,27.950000762939453,158.89999389648438,143.43988037109375,59.47511672973633,143.5564727783203,70.69999694824219,425.25,56.150001525878906,109.6500015258789
2020-09-01,2241.60009765625,146.14999389648438,134.35000610351562,1824.5419921875,635.7161254882812,167.14793395996094,148.0500030517578,82.5999984741211,12.600000381469727,20.049999237060547,28.950000762939453,166.8000030517578,137.1780242919922,59.77091979980469,145.19113159179688,67.19999694824219,390.04998779296875,55.5,107.8499984741211
