Date,^CNXIT,TCS.NS,INFY.NS,WIPRO.NS,HCLTECH.NS,TECHM.NS,MPHASIS.NS,COFORGE.NS,PERSISTENT.NS,LTTS.NS,OFSS.NS,SONATSOFTW.NS,ECLERX.NS,ZENSARTECH.NS,MASTEK.NS,KPITTECH.NS,SASKEN.NS
2020-08-10,18159.55078125,2116.472412109375,875.1578369140625,272.7912902832031,592.5537109375,599.62158203125,1092.5733642578125,1885.6788330078125,477.2873229980469,1564.2672119140625,2427.0390625,99.9229736328125,325.4686279296875,162.96771240234375,687.5465087890625,80.50787353515625,554.9326782226562
2020-08-11,18057.099609375,2113.7841796875,872.489990234375,275.00390625,585.4898071289062,593.4218139648438,1118.201416015625,1874.9193115234375,472.5671691894531,1525.4532470703125,2411.114013671875,97.32646942138672,340.15093994140625,165.90579223632812,670.1054077148438,78.5430679321289,549.5723876953125
2020-08-12,18066.0,2092.876708984375,878.4694213867188,271.6112365722656,614.002197265625,608.5914916992188,1075.6884765625,1897.8131103515625,469.6382751464844,1505.686279296875,2471.800048828125,102.08960723876953,345.0007629394531,166.0479736328125,672.6660766601562,76.92211151123047,543.0308837890625
2020-08-13,18107.19921875,2090.18798828125,875.019775390625,272.3979187011719,620.424072265625,612.9885864257812,1110.7535400390625,1884.92041015625,483.29022216796875,1530.202880859375,2476.972900390625,106.83556365966797,413.9941711425781,163.77334594726562,676.9658813476562,77.26596069335938,555.8412475585938
2020-08-14,18022.650390625,2078.783935546875,877.2275390625,271.9062805175781,607.1524047851562,611.977294921875,1104.9710693359375,1873.3077392578125,477.9408264160156,1501.6085205078125,2459.744384765625,105.16758728027344,449.072265625,164.3893585205078,650.0553588867188,75.49761199951172,539.6693115234375
2020-08-17,18223.599609375,2089.21435546875,880.8151245117188,277.2657470703125,615.500732421875,634.09423828125,1123.752685546875,1891.6510009765625,477.79559326171875,1482.705078125,2488.987548828125,106.42286682128906,475.0818786621094,163.77334594726562,666.1919555664062,76.48003387451172,569.8781127929688
2020-08-18,18270.349609375,2104.373291015625,890.060302734375,278.00323486328125,611.733154296875,627.05908203125,1107.931640625,1906.8660888671875,484.2100830078125,1523.9659423828125,2496.197021484375,107.59217071533203,461.9276123046875,173.25094604492188,675.758056640625,77.56068420410156,560.5202026367188
2020-08-19,18210.849609375,2092.181396484375,882.4710083007812,275.10223388671875,607.7945556640625,639.0629272460938,1113.390380859375,1912.5067138671875,485.39617919921875,1535.4805908203125,2483.122802734375,107.85009002685547,453.6563415527344,171.9714813232422,680.541015625,80.26227569580078,562.0191650390625
2020-08-20,18126.099609375,2088.70458984375,878.6533203125,269.64447021484375,608.008544921875,638.7991333007812,1106.405029296875,1898.33447265625,486.6548156738281,1516.7213134765625,2478.723876953125,108.15961456298828,473.7199401855469,170.2655029296875,714.795166015625,80.80259704589844,563.8817138671875
2020-08-21,18065.30078125,2084.763916015625,872.8119506835938,268.80859375,604.4124755859375,644.2513427734375,1109.3194580078125,1881.365478515625,503.4293518066406,1539.65478515625,2477.053955078125,107.52337646484375,489.4320068359375,170.17074584960938,703.7314453125,80.90082550048828,565.3809204101562
2020-08-24,18010.94921875,2084.301025390625,871.5241088867188,268.1694030761719,604.2411499023438,635.3693237304688,1108.3480224609375,1853.731689453125,527.7560424804688,1515.6658935546875,2501.98046875,111.85664367675781,528.4962158203125,171.11849975585938,688.6576538085938,82.27620697021484,572.9215698242188
2020-08-25,17973.69921875,2079.248291015625,862.9688720703125,265.465087890625,600.7305908203125,649.52783203125,1092.8970947265625,1842.4508056640625,502.7274169921875,1482.51318359375,2488.376953125,110.13709259033203,507.96759033203125,166.2375030517578,677.1591796875,81.24467468261719,570.5595092773438
2020-08-26,18128.0,2089.30712890625,874.6517333984375,267.5301818847656,610.3204345703125,644.4712524414062,1110.291015625,1848.6602783203125,509.5050048828125,1478.243408203125,2479.13134765625,110.49819946289062,516.5045776367188,168.36996459960938,727.356689453125,90.08629608154297,567.1978759765625
2020-08-27,18102.650390625,2084.578857421875,871.2022094726562,267.8251953125,608.051513671875,646.8896484375,1092.295654296875,1839.227783203125,508.1252746582031,1475.8443603515625,2484.670654296875,110.77333068847656,522.58349609375,168.22781372070312,713.2492065429688,88.41622161865234,557.7036743164062
2020-08-28,18122.0,2075.44677734375,860.34716796875,267.5301818847656,604.8834838867188,661.61962890625,1078.27880859375,1897.3388671875,492.9241638183594,1472.5819091796875,2478.072509765625,109.39768981933594,512.6181030273438,167.232666015625,704.9392700195312,86.94261169433594,543.1670532226562
2020-08-31,17928.849609375,2092.7841796875,854.2297973632812,266.79266357421875,594.5658569335938,651.6383666992188,1021.054931640625,1823.9176025390625,463.90155029296875,1501.8482666015625,2470.25244140625,104.75491333007812,467.8071594238281,163.29945373535156,656.239501953125,82.86564636230469,518.091552734375
2020-09-01,17814.05078125,2082.6787109375,840.9370727539062,267.08770751953125,590.4558715820312,640.07421875,1043.398681640625,1792.6341552734375,465.6443176269531,1472.4378662109375,2420.725830078125,105.78663635253906,460.63214111328125,163.6785430908203,669.3323974609375,80.55699157714844,507.3709411621094
2020-09-02,18077.0,2100.108154296875,849.9981689453125,269.1528015136719,601.0304565429688,646.5379028320312,1059.2197265625,1844.7257080078125,490.14044189453125,1467.064453125,2411.0732421875,105.25357818603516,490.7939453125,165.28973388671875,693.2958374023438,82.57093048095703,530.5840454101562
