Date,LT.NS,ADANIPORTS.NS,POWERGRID.NS,NTPC.NS,GAIL.NS,NHPC.NS,IRB.NS,DBL.NS,KNRCON.NS,ASHOKA.NS,SADBHAV.NS,PNCINFRA.NS,NCC.NS,RELINFRA.NS,GAYAPROJ.NS,HGINFRA.NS,JKIL.NS,MEP.NS,RPPINFRA.NS,MONTECARLO.NS
2020-08-10,902.1281127929688,323.163330078125,77.9229736328125,68.12006378173828,54.246341705322266,16.69080352783203,11.994318962097168,344.90264892578125,103.13540649414062,62.900001525878906,45.95000076293945,137.81936645507812,28.448820114135742,29.850000381469727,16.350000381469727,180.86659240722656,91.35620880126953,15.899999618530273,38.443485260009766,138.1333465576172
2020-08-11,903.8665771484375,326.7724304199219,77.74711608886719,68.1586685180664,54.38608932495117,16.60898780822754,11.75295639038086,340.9239807128906,105.90263366699219,63.5,46.0,140.75592041015625,29.42341423034668,31.299999237060547,16.0,186.3368682861328,93.86573791503906,15.850000381469727,39.273475646972656,139.3765869140625
2020-08-12,892.4496459960938,332.8201904296875,78.27467346191406,68.5062255859375,54.805301666259766,16.60898780822754,11.816991806030273,341.8689270019531,104.28218078613281,60.400001525878906,47.0,139.61117553710938,28.912912368774414,31.200000762939453,16.200000762939453,185.8892822265625,93.19009399414062,16.25,39.46210861206055,142.04067993164062
2020-08-13,930.928955078125,339.1117248535156,78.5823974609375,69.46157836914062,54.441978454589844,16.81353187561035,11.979541778564453,349.2294921875,107.34857940673828,64.55000305175781,49.349998474121094,142.44818115234375,29.330595016479492,30.649999618530273,15.899999618530273,185.98873901367188,95.2170181274414,17.049999237060547,47.27153015136719,141.15264892578125
2020-08-14,923.505615234375,339.55072021484375,77.10967254638672,70.37711334228516,53.63150405883789,16.895347595214844,11.802212715148926,349.13006591796875,106.87490844726562,70.9000015258789,47.900001525878906,140.05911254882812,29.79468536376953,30.549999237060547,15.699999809265137,188.1271209716797,97.82305145263672,17.899999618530273,44.66838836669922,144.26075744628906
2020-08-17,940.4195556640625,348.6710510253906,78.53843688964844,75.87035369873047,54.58171844482422,16.936256408691406,11.718475341796875,365.144287109375,113.35670471191406,74.5,47.849998474121094,142.0500030517578,30.67646026611328,31.149999618530273,16.049999237060547,191.16061401367188,97.09915924072266,18.75,43.23477554321289,145.81483459472656
2020-08-18,943.943359375,348.6710510253906,78.14277648925781,75.67132568359375,54.19044876098633,17.0180721282959,11.698771476745605,378.07501220703125,119.68892669677734,72.1500015258789,47.400001525878906,146.2806396484375,30.90850830078125,30.75,16.299999237060547,191.11087036132812,98.74000549316406,19.649999618530273,44.47975540161133,151.94223022460938
2020-08-19,948.2188720703125,347.8907165527344,77.96693420410156,75.3528823852539,56.70573425292969,17.099891662597656,12.895742416381836,402.74285888671875,128.1900634765625,73.4000015258789,49.5,155.7871551513672,33.64665222167969,32.25,17.100000381469727,196.08384704589844,106.89593505859375,19.149999618530273,45.08338165283203,156.42678833007812
2020-08-20,935.67431640625,344.9156494140625,79.65948486328125,80.48784637451172,56.733680725097656,19.268062591552734,13.068143844604492,402.9915771484375,125.59732818603516,71.9000015258789,49.900001525878906,155.68760681152344,34.064327239990234,31.450000762939453,17.899999618530273,212.94219970703125,108.00592041015625,18.799999237060547,44.32884979248047,163.9750518798828
2020-08-21,934.1708984375,345.6472473144531,83.13248443603516,84.34902954101562,56.87342071533203,19.022605895996094,12.570638656616211,402.94183349609375,129.7855682373047,69.9000015258789,50.900001525878906,157.77804565429688,33.7858772277832,30.649999618530273,17.649999618530273,225.57351684570312,110.08110046386719,17.899999618530273,44.4420280456543,169.79168701171875
2020-08-24,931.5397338867188,340.4285888671875,81.43994903564453,83.91117095947266,56.789573669433594,18.6135196685791,12.284942626953125,393.144287109375,131.58053588867188,72.80000305175781,53.400001525878906,154.0451202392578,33.414608001708984,29.700000762939453,17.100000381469727,226.56809997558594,113.02495574951172,18.0,46.02655029296875,165.4847412109375
2020-08-25,921.25048828125,337.5998229980469,81.22013092041016,82.63737487792969,55.727569580078125,18.204429626464844,12.388383865356445,386.330810546875,132.72732543945312,74.8499984741211,56.04999923706055,173.2074432373047,33.22895812988281,29.600000381469727,16.950000762939453,217.16921997070312,118.04399871826172,18.649999618530273,45.61155700683594,163.48666381835938
2020-08-26,910.4912109375,345.5496520996094,81.48391723632812,81.84126281738281,55.81141662597656,18.16351890563965,12.688858032226562,390.0110778808594,131.70518493652344,76.80000305175781,58.849998474121094,169.67359924316406,33.414608001708984,29.799999237060547,16.899999618530273,219.75514221191406,118.38182067871094,18.75,45.68701171875,165.3959197998047
2020-08-27,916.7399291992188,341.9405212402344,81.41796112060547,81.68202209472656,55.448089599609375,18.368066787719727,12.77259635925293,394.7854919433594,135.09567260742188,75.4000015258789,58.349998474121094,168.3297576904297,33.7858772277832,31.25,16.700000762939453,218.31297302246094,115.48622131347656,19.100000381469727,44.63066482543945,166.90557861328125
2020-08-28,922.6129150390625,351.20721435546875,80.14306640625,80.84611511230469,55.39219665527344,18.57261085510254,12.6937837600708,391.453369140625,134.7217254638672,73.44999694824219,56.400001525878906,168.5288543701172,33.7858772277832,29.899999618530273,16.049999237060547,213.4892120361328,115.67925262451172,19.200000762939453,44.027034759521484,164.77430725097656
2020-08-31,887.9391479492188,347.0128173828125,78.67033386230469,76.7460708618164,53.463809967041016,17.71352195739746,11.708623886108398,367.48175048828125,126.17072296142578,68.1500015258789,53.599998474121094,168.8772430419922,31.604644775390625,28.450000762939453,15.75,196.87953186035156,107.13724517822266,18.25,42.3293342590332,154.2067108154297
